Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",18.5750,-21.3650,0.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"R13","0.01R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",40.9125,-21.8625,180.0,top
"D1","Diode1A600mV","D_SOD-323",25.0000,-16.5250,0.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",45.5000,-12.5000,0.0,top
"C10","22uF_25V","C_0805_2012Metric",35.8000,-21.4000,180.0,top
"C13","4.7uF","C_0402_1005Metric",19.3750,-7.8500,180.0,top
"C14","4.7uF","C_0402_1005Metric",21.5000,-4.4500,90.0,top
"D2","red_led","LED_SML-D12D1WT86",21.4125,-1.5500,-90.0,top
"SW1","side_spst_switch","side_spst_switch",28.3750,-2.4500,180.0,top
"C7","10pF","C_0402_1005Metric",28.4500,-20.2000,90.0,top
"J5","ConnBattery_JST_S2B-PH-K-S","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",38.9750,-16.4000,180.0,top
"IGNORE1","Battery v0.1","BoardText",43.4250,-24.6750,0.0,top
"J2","USB_C_power_only_connector","USB_C_Receptacle_power_only_6P",13.6500,-3.4000,0.0,top
"U6","INA180A3","SOT-23-5",44.0250,-21.1125,-90.0,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",40.3250,-7.0750,-90.0,top
"IC1","USBLC6-2P6","USBLC6-2P6",8.9650,-8.1500,-90.0,top
"C8","4.7uF","C_0402_1005Metric",23.5750,-20.5000,0.0,top
"U8","TP4057","SOT-23-6",21.8575,-7.0250,180.0,top
"U5","TPS61230A","TPS61230A",31.4750,-21.1000,90.0,top
"J4","swd_4pin","swd_header",6.9500,-23.2500,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",21.0750,-20.9000,90.0,top
"R10","150K","R_0402_1005Metric",28.4900,-22.3250,-90.0,top
"R9","510K","R_0402_1005Metric",28.4650,-21.2750,90.0,top
"R5","100K","R_0402_1005Metric",10.7000,-12.7250,180.0,top
"C5","22uF_25V","C_0805_2012Metric",32.7750,-17.8750,0.0,top
"R16","330R","R_0402_1005Metric",20.5500,-3.1750,90.0,top
"R2","120R","R_0402_1005Metric",7.5215,-15.8500,180.0,top
"Q2","PMOS_2A","SOT-23",12.5500,-9.9000,90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",47.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.7660,-17.6250,180.0,top
"R3","120R","R_0402_1005Metric",7.5215,-11.8400,180.0,top
"R12","5.1K","R_0402_1005Metric",15.2750,-7.1500,-90.0,top
"C2","4.7uF","C_0402_1005Metric",17.4750,-18.8850,180.0,top
"R15","100K","R_0402_1005Metric",32.0000,-8.4350,0.0,top
"D3","Diode1A600mV","D_SOD-323",19.3500,-11.8500,90.0,top
"L1","1uH_3.2A","L_1008_2520Metric",30.3500,-17.6250,90.0,top
"C11","22uF_25V","C_0805_2012Metric",33.8000,-21.4000,180.0,top
"R17","5.1K","R_0402_1005Metric",24.4750,-7.9500,180.0,top
"R4","120R","R_0402_1005Metric",7.5465,-13.8500,180.0,top
"R1","120R","R_0402_1005Metric",11.8000,-12.7400,180.0,top
"R11","5.1K","R_0402_1005Metric",12.4750,-7.1750,90.0,top
"R14","100K","R_0402_1005Metric",32.0000,-6.5000,0.0,top
"C1","0.1uF","C_0402_1005Metric",18.7750,-17.8000,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"C6","10nF","C_0402_1005Metric",30.9250,-23.1750,-90.0,top
"C3","0.1uF","C_0402_1005Metric",33.0500,-8.4250,0.0,top
"U1","PushPullBuffer","74LVC1G07GW",15.8750,-9.7250,0.0,top
