Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C13,C14,C8,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
0.01R,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C158899
Diode1A600mV,"D1,D3",D_SOD-323,C191023
22uF_25V,"C10,C5,C11",C_0805_2012Metric,C602037
red_led,D2,LED_SML-D12D1WT86,C2286
side_spst_switch,SW1,side_spst_switch,C431548
10pF,C7,C_0402_1005Metric,C32949
ConnBattery_JST_S2B-PH-K-S,J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
USB_C_power_only_connector,J2,USB_C_Receptacle_power_only_6P,C283540
INA180A3,U6,SOT-23-5,C122882
USBLC6-2P6,IC1,USBLC6-2P6,C2827693
TP4057,U8,SOT-23-6,C5380673
TPS61230A,U5,TPS61230A,C376005
ME6211C33M5G-N,U2,SOT-23-5,C81233
150K,R10,R_0402_1005Metric,C25755
510K,R9,R_0402_1005Metric,C11616
100K,"R5,R15,R14",R_0402_1005Metric,C25741
330R,R16,R_0402_1005Metric,C25104
120R,"R2,R3,R4,R1",R_0402_1005Metric,C25079
PMOS_2A,Q2,SOT-23,C306862
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
5.1K,"R12,R17,R11",R_0402_1005Metric,C25905
1uH_3.2A,L1,L_1008_2520Metric,C315711
0.1uF,"C1,C3",C_0402_1005Metric,C1525
10nF,C6,C_0402_1005Metric,C15195
PushPullBuffer,U1,74LVC1G07GW,C426705
