Designator,Mid X,Mid Y,Layer,Rotation
C9,17.4mm,12.14mm,Top,270
J1,4.5mm,22.5mm,Top,90
R13,27.21mm,25.53mm,Top,180
Q6,43.65mm,13.6mm,Top,180
J3,45.5mm,22.5mm,Top,270
C10,35.8mm,13.6mm,Top,90
C13,18.15mm,26.76mm,Top,90
C14,25.27mm,28.7mm,Top,270
Q1,25.52mm,12.55mm,Top,180
D2,21.41mm,33.45mm,Top,180
SW1,28.37mm,32.55mm,Top,180
C7,28.4mm,14.35mm,Top,0
Q2,33.65mm,21.36mm,Top,0
J5,38.97mm,18.6mm,Top,0
J2,13.65mm,31.6mm,Top,180
U6,27.26mm,21.85mm,Top,0
IC1,6.39mm,31.3mm,Top,270
C8,22.4mm,13.0mm,Top,270
U8,22.65mm,27.98mm,Top,0
U5,31.47mm,13.9mm,Top,0
J4,6.95mm,11.75mm,Top,0
U2,19.9mm,12.6mm,Top,0
R10,28.44mm,12.23mm,Top,180
R9,28.41mm,13.28mm,Top,0
R5,14.12mm,22.14mm,Top,90
R8,24.3mm,21.3mm,Top,270
C5,32.77mm,17.13mm,Top,270
R16,20.55mm,31.83mm,Top,0
R2,7.52mm,19.15mm,Top,90
H2,47.5mm,32.45mm,Top,270
U3,12.76mm,17.38mm,Top,90
Q4,22.27mm,18.17mm,Top,0
R3,7.52mm,23.16mm,Top,90
R12,15.27mm,27.85mm,Top,0
C2,17.47mm,16.12mm,Top,90
R15,25.67mm,16.67mm,Top,270
R7,24.65mm,16.68mm,Top,270
L1,30.35mm,17.38mm,Top,90
C11,33.8mm,13.6mm,Top,90
R17,23.85mm,25.53mm,Top,0
R18,26.14mm,15.05mm,Top,180
R4,7.54mm,21.15mm,Top,90
R1,15.22mm,22.13mm,Top,90
Q3,21.8mm,22.78mm,Top,0
R11,12.47mm,27.83mm,Top,180
Q5,39.82mm,13.6mm,Top,180
R14,27.82mm,16.73mm,Top,90
C1,18.77mm,17.2mm,Top,270
H1,2.5mm,12.5mm,Top,270
C6,30.92mm,11.83mm,Top,180
C3,26.72mm,16.68mm,Top,270
R19,41.41mm,16.03mm,Top,180
R20,33.61mm,23.72mm,Top,180
R6,17.02mm,26.75mm,Top,90
