Designator,Mid X,Mid Y,Layer,Rotation
C9,13.9mm,-21.55mm,Top,180
J1,4.5mm,-12.5mm,Top,90
R13,8.22mm,-3.7mm,Top,270
Q6,48.55mm,-21.8mm,Top,180
J3,50.0mm,-12.5mm,Top,270
C10,30.3mm,-20.95mm,Top,90
C13,21.72mm,-7.11mm,Top,90
C14,22.26mm,-4.7mm,Top,180
D2,22.27mm,-1.0mm,Top,180
SW1,43.1mm,-2.4mm,Top,180
C7,22.9mm,-20.2mm,Top,0
Q2,42.67mm,-21.86mm,Top,180
J5,31.85mm,-16.45mm,Top,0
J2,15.25mm,-3.4mm,Top,180
U6,4.75mm,-3.57mm,Top,0
IC1,19.4mm,-7.8mm,Top,270
C8,19.4mm,-21.35mm,Top,270
U8,24.13mm,-7.17mm,Top,90
U5,25.77mm,-20.65mm,Top,0
U2,16.9mm,-21.75mm,Top,90
C1,19.95mm,-16.0mm,Top,270
R10,22.94mm,-22.32mm,Top,180
R9,22.91mm,-21.27mm,Top,0
C5,27.27mm,-17.42mm,Top,270
R16,21.76mm,-2.35mm,Top,0
R2,8.2mm,-17.13mm,Top,270
U3,14.23mm,-15.82mm,Top,90
R3,8.2mm,-13.05mm,Top,90
R12,16.4mm,-7.05mm,Top,0
C2,18.75mm,-16.88mm,Top,90
J8,38.85mm,-16.45mm,Top,0
R15,20.37mm,-19.77mm,Top,0
L1,24.85mm,-17.17mm,Top,90
C11,28.3mm,-20.95mm,Top,90
R18,22.64mm,-18.63mm,Top,270
R17,26.63mm,-7.82mm,Top,90
R4,8.2mm,-15.05mm,Top,270
R1,12.9mm,-10.15mm,Top,90
R11,13.86mm,-7.07mm,Top,180
Q5,38.95mm,-21.81mm,Top,180
R14,20.31mm,-17.62mm,Top,180
C6,25.42mm,-22.72mm,Top,180
C3,20.36mm,-18.72mm,Top,0
R19,46.15mm,-22.07mm,Top,90
R20,45.07mm,-22.06mm,Top,90
J6,47.4mm,-12.5mm,Bottom,270
J7,8.1mm,-12.5mm,Bottom,90
