Designator,Footprint,Mid X,Mid Y,TB,Rotation
C9,C_0402_1005Metric,547.243mil,-848.423mil,T,-90
J1,FFC_connector_16p_hinge_lock,177.165mil,-492.125mil,T,180
R13,R_0805_2012Metric,323.621mil,-145.669mil,T,0
C4,C_0402_1005Metric,92.519mil,-132.283mil,T,180
Q6,SOT-23,1911.413mil,-858.266mil,T,-90
J3,FFC_connector_16p_hinge_lock,1968.5mil,-492.125mil,T,0
C10,C_0805_2012Metric,1206.69mil,-854.329mil,T,180
C13,C_0402_1005Metric,855.116mil,-279.921mil,T,180
C14,C_0402_1005Metric,876.376mil,-185.039mil,T,-90
D2,LED_SML-D12D1WT86,876.77mil,-39.37mil,T,-90
SW1,side_spst_switch,1716.532mil,-94.488mil,T,180
C7,C_0402_1005Metric,915.352mil,-824.801mil,T,90
Q2,SOT-23,1679.918mil,-860.628mil,T,-90
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1153.541mil,-561.022mil,T,180
J2,USB_C_Receptacle_power_only_6P,600.392mil,-133.858mil,T,0
U6,SOT-23-5,187.007mil,-140.551mil,T,0
IC1,USBLC6-2P6,763.778mil,-307.086mil,T,-90
C8,C_0402_1005Metric,763.778mil,-840.549mil,T,0
U8,SOT-23-6,949.998mil,-282.283mil,T,180
R5,R_0402_1005Metric,1452.753mil,-735.825mil,T,180
U5,TPS61230A,1028.344mil,-842.518mil,T,90
U2,SOT-23-5,665.353mil,-856.297mil,T,90
C1,C_0402_1005Metric,785.431mil,-629.92mil,T,0
R10,R_0402_1005Metric,916.927mil,-908.266mil,T,-90
R9,R_0402_1005Metric,915.746mil,-866.927mil,T,90
C5,C_0805_2012Metric,1087.399mil,-715.353mil,T,0
R16,R_0402_1005Metric,856.691mil,-92.519mil,T,90
R6,R_0402_1005Metric,1496.06mil,-734.25mil,T,0
R2,R_0402_1005Metric,322.834mil,-674.408mil,T,0
U4,XB7608AJ,1680.312mil,-427.164mil,T,180
U3,TSSOP-20_4.4x6.5mm_P0.65mm,560.235mil,-622.833mil,T,180
R3,R_0402_1005Metric,322.834mil,-513.779mil,T,180
R12,R_0402_1005Metric,645.668mil,-277.558mil,T,90
C2,C_0402_1005Metric,738.188mil,-664.566mil,T,180
J8,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1429.131mil,-561.022mil,T,180
R15,R_0402_1005Metric,801.967mil,-778.345mil,T,90
L1,L_1008_2520Metric,992.124mil,-705.51mil,T,90
C11,C_0805_2012Metric,1127.95mil,-854.329mil,T,180
R18,R_0402_1005Metric,905.116mil,-762.991mil,T,0
R17,R_0402_1005Metric,1051.179mil,-253.149mil,T,180
R4,R_0402_1005Metric,322.834mil,-592.519mil,T,0
R1,R_0402_1005Metric,507.873mil,-399.606mil,T,180
R7,R_0402_1005Metric,1720.075mil,-312.991mil,T,-90
R11,R_0402_1005Metric,545.668mil,-278.346mil,T,-90
Q5,SOT-23,1533.462mil,-858.66mil,T,-90
R14,R_0402_1005Metric,799.605mil,-693.699mil,T,-90
U1,SOT-583-8,1371.651mil,-757.479mil,T,180
C6,C_0402_1005Metric,1014.565mil,-924.014mil,T,-90
C3,C_0402_1005Metric,801.573mil,-737.006mil,T,90
R19,R_0402_1005Metric,1816.925mil,-868.896mil,T,180
C12,C_0402_1005Metric,1637.398mil,-312.991mil,T,90
R20,R_0402_1005Metric,1774.406mil,-868.502mil,T,180
J6,01x06_2.54mm_Female,1866.138mil,-492.125mil,B,0
J7,01x06_2.54mm_Male,318.897mil,-492.125mil,B,180
