Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
1,"C9,C4,C13,C14,C8,C2",6,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733,4.7uF
2,"J1,J3",2,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665,FFC_connector_16p_hinge_lock
3,R13,1,,,R_0805_2012Metric,C2912728,0.01R
4,"Q6,Q2",2,BORN,AO3401A,SOT-23,C306862,PMOS_2A
5,"C10,C5,C11",3,Samsung,CL21A226MAYNNNE,C_0805_2012Metric,C602037,22uF_25V
6,D2,1,,KT-0603R,LED_SML-D12D1WT86,C2286,red_led
7,SW1,1,,SK12D07VG5,side_spst_switch,C431548,side_spst_switch
8,C7,1,,,C_0402_1005Metric,C32949,10pF
9,"J5,J8",2,JST,S2B-PH-K-S,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752,ConnBattery_JST_S2B-PH-K-S
11,J2,1,Korean Hroparts Elec,TYPE-C-31-M-17 ,USB_C_Receptacle_power_only_6P,C283540,USB_C_power_only_connector
12,U6,1,Texas Instruments,INA180A3IDBVR,SOT-23-5,C122882,INA180A3
13,IC1,1,STMicroelectronics,USBLC6-2P6,USBLC6-2P6,C2827693,USBLC6-2P6
14,U8,1,,TP4057,SOT-23-6,C5380673,TP4057
15,"R5,R6,R18,R19",4,,,R_0402_1005Metric,C25744,10K
16,U5,1,Texas Instruments,TPS61230A,TPS61230A,C376005,TPS61230A
18,U2,1,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233,ME6211C33M5G-N
19,"C1,C3,C12",3,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525,0.1uF
20,R10,1,,,R_0402_1005Metric,C25755,150K
21,R9,1,,,R_0402_1005Metric,C11616,510K
22,R16,1,,0402WGF3300TCE,R_0402_1005Metric,C25104,330R
23,"R2,R3,R4,R1",4,,0402WGF750JTCE,R_0402_1005Metric,C25133,75R
24,U4,1,XySemi,XB7608AJ,XB7608AJ,C2681921,XB7608AJ
26,U3,1,STMicroelectronics,STM32G030F6P6TR,TSSOP-20_4.4x6.5mm_P0.65mm,C529330,STM32G030F6P6
27,"R12,R17,R11",3,,,R_0402_1005Metric,C25905,5.1K
28,"R15,R14,R20",3,,,R_0402_1005Metric,C25741,100K
29,L1,1,INPAQ,WIP252012P-1R0ML,L_1008_2520Metric,C315711,1uH_3.2A
30,R7,1,,,R_0402_1005Metric,C11702,1K
31,Q5,1,Changjiang Electronics Tech,2N7002,SOT-23,C8545,N_MOSFET
32,U1,1,Texas Instruments,TPS2116DRLR,SOT-583-8,C3235557,TPS2116DRL
33,C6,1,,,C_0402_1005Metric,C15195,10nF
37,J6,1,,X6511FRS-06-C85D30,01x06_2.54mm_Female,C5142239,01x06_2.54mm_Female
40,J7,1,,X6511WRS-06H-C60D48,01x06_2.54mm_Male,C5242199,01x06_2.54mm_Male
