Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
Diode1A600mV,"D3,D1",D_SOD-323,C191023
74LVC1G06,"U5,U9,U4,U6,U1",SOT-353_SC-70-5,C460519
button_6x6x9,"SW5,SW1,SW2,SW4,SW3",SW_SPST_PTS645,C480278
100K,"R9,R6,R8,R5,R7",R_0402_1005Metric,C25741
ME6211C33M5G-N,U2,SOT-23-5,C81233
120R,"R2,R3,R4,R1",R_0402_1005Metric,C25079
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
0.1uF,C1,C_0402_1005Metric,C1525
