Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",41.1500,-21.7100,0.0,top
"J5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.9500,-12.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",49.5000,-12.5000,0.0,top
"SW1","button_6x6x7","SW_SPST_PTS645",12.0000,-12.5000,90.0,top
"R9","10K","R_0402_1005Metric",36.7500,-14.3650,0.0,top
"IGNORE1","Buttons v0.5","BoardText",45.0000,-24.8300,0.0,top
"R6","10K","R_0402_1005Metric",10.4400,-6.6000,-90.0,top
"SW2","button_6x6x7","SW_SPST_PTS645",21.5000,-6.0000,90.0,top
"SW4","button_6x6x7","SW_SPST_PTS645",21.5000,-19.0000,180.0,top
"C8","4.7uF","C_0402_1005Metric",46.1500,-20.8450,0.0,top
"SW3","button_6x6x7","SW_SPST_PTS645",31.0000,-12.5000,180.0,top
"J4","swd_4pin","swd_header",5.8500,-23.6000,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",43.6500,-21.2450,90.0,top
"H3","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-2.5000,0.0,top
"R2","75R","R_0402_1005Metric",27.7000,-19.9800,-90.0,top
"H4","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",51.5000,-22.5000,0.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",51.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",33.0625,-20.3750,180.0,top
"R3","75R","R_0402_1005Metric",27.7000,-17.8500,-90.0,top
"C2","4.7uF","C_0402_1005Metric",38.5250,-22.5000,180.0,top
"R8","10K","R_0402_1005Metric",15.8750,-19.8600,0.0,top
"R4","75R","R_0402_1005Metric",27.6900,-18.9250,-90.0,top
"R5","10K","R_0402_1005Metric",17.4000,-7.5000,0.0,top
"R1","75R","R_0402_1005Metric",37.7250,-17.2500,180.0,top
"C1","0.1uF","C_0402_1005Metric",38.5250,-20.4900,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"D2","1N4148W","D_SOD-123",42.4750,-3.3750,0.0,top
"R7","10K","R_0402_1005Metric",43.7250,-6.6250,90.0,top
"SW6","button_6x6x7","SW_SPST_PTS645",42.0000,-12.3750,-90.0,top
