Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J2",FFC_connector_16p_hinge_lock,C262665
1N4148W,D2,D_SOD-123,C81598
ME6211C33M5G-N,U2,SOT-23-5,C81233
75R,"R2,R4,R1,R3",R_0402_1005Metric,C25133
RotaryEncoder_Switch,SW7,RotaryEncoderEC12D,C112349
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
10K,R5,R_0402_1005Metric,C25744
0.1uF,C1,C_0402_1005Metric,C1525
01x06_2.54mm_Female,J5,01x06_2.54mm_Female,C5142239
01x06_2.54mm_Male,J3,01x06_2.54mm_Male,C5242199
