Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",17.1000,-22.4650,0.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"IGNORE1","Distance v0.1","BoardText",18.9500,-24.3000,0.0,top
"R5","10K","R_0402_1005Metric",12.3000,-7.1000,-90.0,top
"C8","4.7uF","C_0402_1005Metric",22.1000,-21.6000,0.0,top
"J4","swd_4pin","swd_header",6.9500,-23.2500,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",19.6000,-22.0000,90.0,top
"U1","VL53L3CXV0DH","VL53L3CXV0DH",12.5000,-3.0000,180.0,top
"R2","120R","R_0402_1005Metric",7.5215,-15.8500,180.0,top
"R6","10K","R_0402_1005Metric",11.2500,-5.9500,90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.7660,-17.6250,180.0,top
"R3","120R","R_0402_1005Metric",7.5215,-11.8400,180.0,top
"C2","4.7uF","C_0402_1005Metric",17.4785,-18.7850,180.0,top
"R4","120R","R_0402_1005Metric",7.5465,-13.8500,180.0,top
"C3","4.7uF","C_0402_1005Metric",9.6000,-3.4650,180.0,top
"R1","120R","R_0402_1005Metric",17.3465,-11.8250,180.0,top
"C1","0.1uF","C_0402_1005Metric",17.4785,-16.7750,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
