Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C5,C3,C4",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
12pF,"C6,C7",C_0402_1005Metric,C1547
120R,"R8,R10,R9,R7",R_0402_1005Metric,C25079
0.1uF,C11,C_0402_1005Metric,C1525
10K,"R5,R6",R_0402_1005Metric,C25744
STM32F103C8T6,U3,LQFP-48_7x7mm_P0.5mm,C2969777
ME6211C33M5G-N,U2,SOT-23-5,C81233
VL53L3CXV0DH,U1,VL53L3CXV0DH,C1864163
Crystal_16M_small,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C252270
