Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",7.7750,-2.8650,180.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"IGNORE1","Distance v0.2","BoardText",18.9500,-24.3000,0.0,top
"R5","10K","R_0402_1005Metric",15.1250,-6.6000,-90.0,top
"C8","4.7uF","C_0402_1005Metric",2.7750,-3.7300,180.0,top
"J4","swd_4pin","swd_header",6.9500,-23.2500,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",5.2750,-3.3300,-90.0,top
"U1","VL53L3CXV0DH","VL53L3CXV0DH",12.5000,-2.6075,180.0,top
"R2","120R","R_0402_1005Metric",7.2500,-15.5850,180.0,top
"R6","10K","R_0402_1005Metric",14.0750,-5.4500,90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"R3","120R","R_0402_1005Metric",7.2000,-11.5750,180.0,top
"C2","4.7uF","C_0402_1005Metric",13.9050,-8.1000,-90.0,top
"R4","120R","R_0402_1005Metric",7.2000,-13.5750,180.0,top
"C3","4.7uF","C_0402_1005Metric",9.6000,-3.0725,180.0,top
"C1","0.1uF","C_0402_1005Metric",11.8950,-8.1000,90.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"U4","STM32G030K6T6","LQFP-32_7x7mm_P0.8mm",13.0750,-13.8500,-90.0,top
