Ref,Val,Package,PosX,PosY,Rot,Side
C9,4.7uF,C_0402_1005Metric,7.7750,-2.8650,180.0,top
C6,12pF,C_0402_1005Metric,12.1500,-6.6500,90.0,top
J3,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,20.5000,-12.5000,0.0,top
J5,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,4.5000,-12.5000,180.0,top
R8,75R,R_0402_1005Metric,19.0400,-21.2500,90.0,top
R10,75R,R_0402_1005Metric,7.4500,-21.0250,-90.0,top
C11,0.1uF,C_0402_1005Metric,9.1250,-8.7750,0.0,top
IGNORE1,Distance v0.5,BoardText,18.9500,-24.3000,0.0,top
R5,10K,R_0402_1005Metric,15.1250,-6.6000,-90.0,top
C8,4.7uF,C_0402_1005Metric,2.7750,-3.7300,180.0,top
U3,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,12.0250,-15.6500,-90.0,top
J4,swd_4pin,swd_header,5.8500,-23.6000,90.0,top
U2,ME6211C33M5G-N,SOT-23-5,5.2750,-3.3300,-90.0,top
U1,VL53L3CXV0DH,VL53L3CXV0DH,12.5000,-2.6075,180.0,top
C5,4.7uF,C_0402_1005Metric,15.6900,-21.4500,-90.0,top
R6,10K,R_0402_1005Metric,14.0750,-5.4500,90.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,22.5000,-2.5500,0.0,top
R9,75R,R_0402_1005Metric,19.0050,-20.1400,90.0,top
C3,4.7uF,C_0402_1005Metric,9.6000,-3.0725,180.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-22.5000,0.0,top
Y1,Crystal_16M_small,Crystal_SMD_2016-4Pin_2.0x1.6mm,12.2750,-8.5250,180.0,top
R7,75R,R_0402_1005Metric,19.0400,-22.3250,90.0,top
C7,12pF,C_0402_1005Metric,10.2000,-8.5250,0.0,top
C4,4.7uF,C_0402_1005Metric,16.7150,-11.3000,90.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
J1,01x06_2.54mm_Male,01x06_2.54mm_Male,2.5000,-12.5000,180.0,bottom
J2,01x06_2.54mm_Female,01x06_2.54mm_Female,24.1000,-12.5000,0.0,bottom
