"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
2;"U9";"SOT-353_SC-70-5";1;"74LVC1G06";
3;"J1,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
4;"IGNORE1";"BoardText";1;"Button v0.1";
5;"R5";"R_0402_1005Metric";1;"100K";
6;"R6";"R_0402_1005Metric";1;"1K";
7;"J4";"swd_header";1;"swd_4pin";
8;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
9;"D3,D1";"D_SOD-323";2;"Diode1A600mV";
10;"R2,R3,R4,R1";"R_0402_1005Metric";4;"120R";
11;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
12;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
13;"SW1";"SW_SPST_PTS645";1;"button_6x6x9";
14;"D2";"WS2812B_1615";1;"ws2812b_1615";
15;"Q1";"SOT-23";1;"N_MOSFET";
16;"C1";"C_0402_1005Metric";1;"0.1uF";
