Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",6.4000,-2.1850,0.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"IGNORE1","Button v0.5","BoardText",19.3500,-24.5250,0.0,top
"R5","10K","R_0402_1005Metric",8.4500,-14.6650,0.0,top
"SW2","button_6x6x7","SW_SPST_PTS645",12.5000,-12.5000,90.0,top
"R6","1K","R_0402_1005Metric",11.2750,-18.7000,180.0,top
"C8","4.7uF","C_0402_1005Metric",1.4000,-3.0500,180.0,top
"J4","swd_4pin","swd_header",5.8500,-23.6000,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",3.9000,-2.6500,-90.0,top
"D3","1N4148W","D_SOD-123",18.4000,-20.2500,0.0,top
"R2","75R","R_0402_1005Metric",18.0000,-2.3500,90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.2375,-3.7250,0.0,top
"R3","75R","R_0402_1005Metric",18.0500,-4.6500,90.0,top
"C2","4.7uF","C_0402_1005Metric",7.6000,-2.1500,0.0,top
"R4","75R","R_0402_1005Metric",18.0500,-3.5000,90.0,top
"D2","ws2812b_1615","WS2812B_1615",13.2750,-18.7000,180.0,top
"R1","75R","R_0402_1005Metric",7.7000,-6.2500,0.0,top
"Q1","N_MOSFET","SOT-23",8.9000,-19.5000,-90.0,top
"C1","0.1uF","C_0402_1005Metric",7.8000,-4.1300,180.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
