Designator,Mid X,Mid Y,Layer,Rotation
C9,17.1mm,-22.46mm,Top,270
J1,4.5mm,-12.5mm,Top,90
J3,20.5mm,-12.5mm,Top,270
R6,14.25mm,-9.0mm,Top,0
C4,9.4mm,-3.75mm,Top,90
R5,13.36mm,-10.15mm,Top,180
R7,11.63mm,-1.3mm,Top,180
Y2,17.0mm,-4.45mm,Top,270
C8,22.1mm,-21.6mm,Top,270
U2,19.6mm,-22.0mm,Top,90
R2,7.52mm,-15.85mm,Top,90
U4,12.5mm,-5.0mm,Top,270
U3,12.76mm,-17.62mm,Top,90
R3,7.52mm,-11.84mm,Top,90
C2,17.47mm,-18.78mm,Top,90
R4,7.54mm,-13.85mm,Top,90
R1,17.34mm,-11.82mm,Top,90
C7,15.4mm,-1.4mm,Top,90
C6,16.95mm,-7.05mm,Top,0
C1,17.47mm,-16.77mm,Top,270
C3,13.65mm,-1.3mm,Top,0
C5,16.96mm,-1.85mm,Top,0
