"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2,C3";"C_0402_1005Metric";4;"4.7uF";
2;"J1,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
3;"R6,R5";"R_0402_1005Metric";2;"3.3K";
4;"C4";"C_0402_1005Metric";1;"1uF";
5;"IGNORE1";"BoardText";1;"IMU v1.0";
6;"R7";"R_0402_1005Metric";1;"10K";
7;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal_32.768K";
8;"J4";"swd_header";1;"swd_4pin";
9;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
10;"R2,R3,R4,R1";"R_0402_1005Metric";4;"120R";
11;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
12;"U4";"IMU-BNO055";1;"BNO055";
13;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
14;"C7,C1";"C_0402_1005Metric";2;"0.1uF";
15;"C6,C5";"C_0402_1005Metric";2;"22pF";
