Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2,C3",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
3.3K,"R6,R5",R_0402_1005Metric,C25890
1uF,C4,C_0402_1005Metric,C52923
10K,R7,R_0402_1005Metric,C25744
Crystal_32.768K,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C390740
ME6211C33M5G-N,U2,SOT-23-5,C81233
120R,"R2,R3,R4,R1",R_0402_1005Metric,C25079
BNO055,U4,IMU-BNO055,C93216
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
0.1uF,"C7,C1",C_0402_1005Metric,C1525
22pF,"C6,C5",C_0402_1005Metric,C1555
