Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",6.1000,-28.1400,0.0,top
"Y1","Crystal_27.12M","Crystal_SMD_3225-4Pin_3.2x2.5mm",5.1500,-13.5750,180.0,top
"U1","MFRC522","HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",7.2625,-20.0800,90.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-37.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",70.5000,-37.5000,0.0,top
"C4","15pF","C_0402_1005Metric",7.9500,-14.1750,0.0,top
"C5","0.1uF","C_0402_1005Metric",14.7500,-16.7650,0.0,top
"C16","10pF","C_0402_1005Metric",19.3000,-19.6050,0.0,top
"R7","5.1K","R_0402_1005Metric",12.9500,-16.0250,90.0,top
"C3","15pF","C_0402_1005Metric",4.7100,-15.8250,90.0,top
"IGNORE1","NFC v0.1","BoardText",68.9000,-49.3250,0.0,top
"C8","4.7uF","C_0402_1005Metric",1.1000,-28.7500,180.0,top
"C10","47pF","C_0402_1005Metric",16.0000,-23.9050,0.0,top
"J4","swd_4pin","swd_header",6.9500,-48.2500,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",3.6000,-28.6050,-90.0,top
"R2","120R","R_0402_1005Metric",16.8400,-30.9750,90.0,top
"C7","0.1uF","C_0402_1005Metric",12.6000,-17.6000,180.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",72.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",11.8125,-30.5750,0.0,top
"R3","120R","R_0402_1005Metric",16.4000,-33.7250,0.0,top
"C2","4.7uF","C_0402_1005Metric",7.2250,-29.8500,0.0,top
"R4","120R","R_0402_1005Metric",16.8250,-32.1250,90.0,top
"R1","120R","R_0402_1005Metric",7.2750,-33.9750,0.0,top
"C11","47pF","C_0402_1005Metric",15.8750,-19.6200,0.0,top
"L2","2.2uH_1A","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",14.4500,-19.8425,0.0,top
"C12","15pF","C_0402_1005Metric",17.0000,-19.6050,180.0,top
"C13","180pF","C_0402_1005Metric",18.3500,-23.9550,0.0,top
"C1","0.1uF","C_0402_1005Metric",7.2500,-31.9350,180.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-47.5000,0.0,top
"C17","4.7uF","C_0402_1005Metric",5.7500,-24.1250,-90.0,top
"C15","10pF","C_0402_1005Metric",19.4750,-23.9400,0.0,top
"C6","15pF","C_0402_1005Metric",17.2250,-23.9400,0.0,top
"R5","10K","R_0402_1005Metric",8.6000,-24.1500,90.0,top
"R6","820R","R_0402_1005Metric",11.5000,-17.5750,180.0,top
"C14","180pF","C_0402_1005Metric",18.1500,-19.6300,0.0,top
"L1","2.2uH_1A","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",14.5500,-23.3550,180.0,top
