Designator,Mid X,Mid Y,Layer,Rotation
C9,6.1mm,6.86mm,Top,270
Y1,5.15mm,21.43mm,Top,90
U1,7.26mm,14.92mm,Top,0
J1,4.5mm,-2.5mm,Top,90
J3,70.5mm,-2.5mm,Top,270
C4,7.95mm,20.83mm,Top,270
C5,14.75mm,18.24mm,Top,270
C16,19.3mm,15.4mm,Top,270
R7,12.95mm,18.98mm,Top,0
C3,4.71mm,19.18mm,Top,0
C8,1.1mm,6.25mm,Top,90
C10,16.0mm,11.1mm,Top,270
J4,6.95mm,-13.25mm,Top,0
U2,3.6mm,6.4mm,Top,180
R2,16.84mm,4.03mm,Top,0
C7,12.6mm,17.4mm,Top,90
H2,72.5mm,32.45mm,Top,270
U3,11.81mm,4.43mm,Top,270
R3,16.4mm,1.28mm,Top,270
C2,7.22mm,5.15mm,Top,270
R4,16.82mm,2.88mm,Top,0
R1,7.27mm,1.03mm,Top,270
C11,15.87mm,15.38mm,Top,270
L2,14.45mm,15.16mm,Top,270
C12,17.0mm,15.4mm,Top,90
C13,18.35mm,11.05mm,Top,270
C1,7.25mm,3.07mm,Top,90
H1,2.5mm,-12.5mm,Top,270
C17,5.75mm,10.88mm,Top,180
C15,19.47mm,11.06mm,Top,270
C6,17.22mm,11.06mm,Top,270
R5,8.6mm,10.85mm,Top,0
R6,11.5mm,17.43mm,Top,90
C14,18.15mm,15.37mm,Top,270
L1,14.55mm,11.65mm,Top,90
