"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2,C17";"C_0402_1005Metric";4;"4.7uF";
2;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_27.12M";
3;"U1";"HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm";1;"MFRC522";
4;"J1,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
5;"C4,C3,C12,C6";"C_0402_1005Metric";4;"15pF";
6;"C5,C7,C1";"C_0402_1005Metric";3;"0.1uF";
7;"C16,C15";"C_0402_1005Metric";2;"10pF";
8;"R7";"R_0402_1005Metric";1;"5.1K";
9;"IGNORE1";"BoardText";1;"NFC v0.1";
10;"C10,C11";"C_0402_1005Metric";2;"47pF";
11;"J4";"swd_header";1;"swd_4pin";
12;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
13;"R2,R3,R4,R1";"R_0402_1005Metric";4;"120R";
14;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
15;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
16;"L2,L1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"2.2uH_1A";
17;"C13,C14";"C_0402_1005Metric";2;"180pF";
18;"R5";"R_0402_1005Metric";1;"10K";
19;"R6";"R_0402_1005Metric";1;"820R";
