Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2,C17",C_0402_1005Metric,C23733
Crystal_27.12M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C5444606
MFRC522,U1,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,C11322
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
15pF,"C4,C3,C12,C6",C_0402_1005Metric,C1548
0.1uF,"C5,C7,C1",C_0402_1005Metric,C1525
10pF,"C16,C15",C_0402_1005Metric,C32949
5.1K,R7,R_0402_1005Metric,C25905
47pF,"C10,C11",C_0402_1005Metric,C1567
ME6211C33M5G-N,U2,SOT-23-5,C81233
120R,"R2,R3,R4,R1",R_0402_1005Metric,C25079
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
2.2uH_1A,"L2,L1",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C365953
180pF,"C13,C14",C_0402_1005Metric,C285199
10K,R5,R_0402_1005Metric,C25744
820R,R6,R_0402_1005Metric,C227240
