Designator,Mid X,Mid Y,Layer,Rotation
USBC9,19.12mm,-22.04mm,Top,270
DIAC9,83.3mm,-57.52mm,Top,90
BUTR1,42.2mm,-33.25mm,Top,270
USBC2,8.6mm,-9.27mm,Top,0
POWR1,45.6mm,-89.05mm,Top,0
LEDJ7,55.1mm,-66.5mm,Top,270
BTSJ5,73.95mm,-39.5mm,Top,90
WIRC11,35.55mm,-4.67mm,Top,90
TMPR5,17.71mm,-74.47mm,Top,180
LEDR2,42.31mm,-71.75mm,Top,180
LIGC9,18.75mm,-103.48mm,Top,270
TMPU1,12.3mm,-56.15mm,Top,0
JOYR4,78.81mm,-18.65mm,Top,270
LEDC4,38.72mm,-57.1mm,Top,270
BUTJ3,55.0mm,-39.5mm,Top,270
LIGR5,17.05mm,-102.8mm,Top,0
DISU2,5.27mm,-30.33mm,Top,270
DISC6,12.15mm,-33.65mm,Top,0
BUTC8,35.9mm,-30.05mm,Top,90
JOYU1,96.0mm,-10.5mm,Top,90
JOYC1,79.88mm,-8.74mm,Top,0
TMPC9,18.75mm,-76.48mm,Top,270
TMPU2,21.25mm,-76.01mm,Top,90
JOYC9,83.02mm,-3.67mm,Top,270
BUTC1,42.3mm,-31.13mm,Top,90
DISJ5,4.5mm,-39.5mm,Top,90
DISR8,19.04mm,-48.25mm,Top,0
BUTJ1,39.0mm,-39.5mm,Top,90
BTSR2,96.7mm,-46.98mm,Top,180
LIGR3,7.97mm,-94.14mm,Top,90
LEDR3,43.82mm,-67.42mm,Top,180
DIAR5,103.93mm,-65.04mm,Top,90
LIGR2,7.8mm,-98.45mm,Top,180
TMPR2,7.8mm,-71.45mm,Top,180
BUTU3,46.73mm,-30.72mm,Top,270
DISC8,2.77mm,-30.73mm,Top,90
WIRR6,42.54mm,-7.4mm,Top,0
WIRL4,46.75mm,-5.66mm,Top,270
DISR10,7.45mm,-48.02mm,Top,180
LIGC1,17.47mm,-97.77mm,Top,270
BTSSW1,81.0mm,-39.5mm,Top,90
WIRC12,52.92mm,-21.62mm,Top,270
JOYU2,80.52mm,-4.14mm,Top,270
