Ref,Val,Package,PosX,PosY,Rot,Side
"USBC9","4.7uF","C_0402_1005Metric",19.1250,-22.0400,0.0,top
"DIAC9","4.7uF","C_0402_1005Metric",83.3000,-57.5200,180.0,top
"WIRAE1","Antenna_MIFA_Cypress","Antenna_cypress_MIFA",43.4750,-2.2750,0.0,top
"BUTR1","75R","R_0402_1005Metric",42.2000,-33.2500,0.0,top
"USBC2","4.7uF","C_0402_1005Metric",8.6000,-9.2750,90.0,top
"POWR1","5.1K","R_0402_1005Metric",45.6000,-89.0500,90.0,top
"LEDJ7","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",55.1050,-66.5000,0.0,top
"BTSJ5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",73.9500,-39.5000,180.0,top
"WIRC11","4.7uF","C_0402_1005Metric",35.5500,-4.6750,180.0,top
"TMPR5","10K","R_0402_1005Metric",17.7150,-74.4750,-90.0,top
"LEDR2","75R","R_0402_1005Metric",42.3150,-71.7500,-90.0,top
"WIRJ4","swd_4pin","swd_header",40.3500,-23.6000,90.0,top
"LIGC9","4.7uF","C_0402_1005Metric",18.7500,-103.4800,0.0,top
"TMPU1","HDC1080","Texas_PWSON-N6",12.3000,-56.1500,0.0,top
"JOYR4","75R","R_0402_1005Metric",78.8100,-18.6550,0.0,top
"LEDIGNORE4","5V","BoardText",44.2000,-55.1500,90.0,top
"LEDC4","47uF_16V","C_1210_3225Metric",38.7200,-57.1000,0.0,top
"BUTJ3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",55.0000,-39.5000,0.0,top
"POWIGNORE1","USBPower v0.5","BoardText",52.0500,-105.7400,0.0,top
"DIAH2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",120.5000,-56.5500,0.0,top
"LIGR5","10K","R_0402_1005Metric",17.0500,-102.8000,90.0,top
"DISU2","ME6211C33M5G-N","SOT-23-5",5.2750,-30.3300,-90.0,top
"DISC6","12pF","C_0402_1005Metric",12.1500,-33.6500,90.0,top
"BUTC8","4.7uF","C_0402_1005Metric",35.9000,-30.0500,180.0,top
"JOYU1","Joystick","Joystick",96.0000,-10.5000,90.0,top
"JOYC1","0.1uF","C_0402_1005Metric",79.8850,-8.7400,90.0,top
"TMPC9","4.7uF","C_0402_1005Metric",18.7500,-76.4800,0.0,top
"TMPU2","ME6211C33M5G-N","SOT-23-5",21.2500,-76.0150,90.0,top
"JOYC9","4.7uF","C_0402_1005Metric",83.0200,-3.6750,0.0,top
"JOYJ4","swd_4pin","swd_header",74.8500,-23.6000,90.0,top
"BUTC1","0.1uF","C_0402_1005Metric",42.3000,-31.1300,180.0,top
"DISJ5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-39.5000,180.0,top
"DISR8","75R","R_0402_1005Metric",19.0400,-48.2500,90.0,top
"BUTJ1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",39.0000,-39.5000,180.0,top
"BTSR2","75R","R_0402_1005Metric",96.7000,-46.9800,-90.0,top
"POWH1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",37.0000,-103.5000,0.0,top
"JOYH2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",120.5000,-2.5500,0.0,top
"DIAIGNORE1","Dial v0.5","BoardText",113.8300,-78.3700,0.0,top
"LIGR3","75R","R_0402_1005Metric",7.9750,-94.1400,180.0,top
"LEDR3","75R","R_0402_1005Metric",43.8250,-67.4250,-90.0,top
"DIAR5","10K","R_0402_1005Metric",103.9300,-65.0400,180.0,top
"LIGR2","75R","R_0402_1005Metric",7.8000,-98.4500,-90.0,top
