"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"USBC9,DIAC9,USBC2,WIRC11,LIGC9,BUTC8,TMPC9,JOYC9,DISC8,WIRC12,BTSC9,JOYC8,LIGC2,LEDC8,USBC8,DIAC8,LEDC2,LEDC9,DISC5,BUTC2,JOYC2,WIRC9,LIGC8,USBC5,TMPC8,WIRC2,DISC3,BTSC2,DIAC2,BTSC8,LIGC3,USBC1,TMPC3,BUTC9,DISC4,WIRC8,DISC9,TMPC2,WIRC15";"C_0402_1005Metric";39;"4.7uF";
2;"WIRAE1";"Antenna_cypress_MIFA";1;"Antenna_MIFA_Cypress";
3;"BUTR1,LEDR2,JOYR4,DISR8,BTSR2,LIGR3,LEDR3,LIGR2,TMPR2,DISR10,TMPR1,LIGR4,USBR7,DIAR4,BUTR3,BTSR3,BTSR1,BTSR4,BUTR4,LEDR1,USBR4,DISR9,TMPR3,LIGR1,USBR5,TMPR4,DIAR3,JOYR2,DISR7,USBR6,JOYR1,BUTR2,DIAR1,JOYR3,DIAR2,LEDR4";"R_0402_1005Metric";36;"75R";
4;"POWR1,POWR2,USBR2,USBR1";"R_0402_1005Metric";4;"5.1K";
5;"LEDJ7,BTSJ5,BUTJ3,DISJ5,BUTJ1,WIRJ5,JOYJ5,USBJ5,LIGJ5,JOYJ2,POWJ5,BTSJ3,WIRJ3,DISJ3,LEDJ5,USBJ6,DIAJ1,TMPJ3,LIGJ3,DIAJ2,TMPJ5,POWJ6";"FFC_connector_16p_hinge_lock";22;"FFC_connector_16p_hinge_lock";
6;"TMPR5,LIGR5,DIAR5,BUTR5,BTSR9,DISR5,BTSR6,DISR6,BTSR8,JOYR6,BTSR5,LIGR6,TMPR6,BTSR7";"R_0402_1005Metric";14;"10K";
7;"WIRJ4,JOYJ4,DISJ4,TMPJ4,BUTJ4,BTSJ4,USBJ4,LEDJ4,LIGJ4,DIAJ4";"swd_header";10;"swd_4pin";
8;"TMPU1";"Texas_PWSON-N6";1;"HDC1080";
9;"LEDIGNORE4";"BoardText";1;"5V";
10;"LEDC4";"C_1210_3225Metric";1;"47uF_16V";
