Ref,Val,Package,PosX,PosY,Rot,Side
"SERIGNORE12","Servo8","BoardText",40.6250,-32.1579,-90.0,bottom
"MATQ1","N_MOSFET","SOT-23",85.5000,-148.2750,-90.0,bottom
"BATIGNORE5","-","BoardText",39.8500,-19.0000,180.0,bottom
"BATIGNORE6","-","BoardText",30.7920,-9.2500,180.0,bottom
"MATU2","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",89.9375,-155.6250,180.0,bottom
"SERIGNORE11","Servo7","BoardText",36.2250,-32.2750,-90.0,bottom
"MATJ4","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",112.5000,-149.5000,0.0,bottom
"BEXIGNORE5","22","BoardText",105.1920,-10.5700,180.0,bottom
"WIRJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",179.9000,-12.5000,0.0,bottom
"DIAJ5","01x06_2.54mm_Female","01x06_2.54mm_Female",110.9000,-66.5000,0.0,bottom
"BTSJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-93.5000,0.0,bottom
"BEXIGNORE2","1","BoardText",74.4821,-4.1500,180.0,bottom
"USBJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",135.1000,-12.5000,180.0,bottom
"MOTJ5","01x06_2.54mm_Male","01x06_2.54mm_Male",71.6000,-39.5000,180.0,bottom
"BATIGNORE6","-","BoardText",30.7920,-19.0051,180.0,bottom
"MOTIGNORE2","Motor 0","BoardText",79.6000,-28.9500,180.0,bottom
"POWJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",169.6000,-93.5000,180.0,bottom
"MATC8","22uF_10V","C_0603_1608Metric",84.1900,-115.4500,-90.0,bottom
"MATC3","4.7uF","C_0402_1005Metric",98.0500,-154.0500,180.0,bottom
"MATC2","4.7uF","C_0402_1005Metric",94.6375,-154.0950,180.0,bottom
"SCRR2","75R","R_0402_1005Metric",18.5250,-126.5150,0.0,bottom
"BATIGNORE3","OFF","BoardText",40.4500,-6.5000,180.0,bottom
"BATIGNORE4","+","BoardText",37.8500,-19.0000,180.0,bottom
"SERIGNORE4","DATA","BoardText",45.5671,-36.0100,180.0,bottom
"SERJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-39.5000,180.0,bottom
"MATC1","4.7uF","C_0402_1005Metric",103.2250,-154.1250,180.0,bottom
"MATC6","22uF_10V","C_0603_1608Metric",108.1000,-131.4625,0.0,bottom
"MOTIGNORE3","Motor 1","BoardText",100.7421,-29.6250,180.0,bottom
"WIRJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",169.6000,-12.5000,180.0,bottom
"SERIGNORE10","Servo6","BoardText",31.7000,-32.3329,-90.0,bottom
"SERIGNORE5","Servo1","BoardText",8.3500,-32.6671,90.0,bottom
"SERJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-39.5000,0.0,bottom
"DIAJ3","01x06_2.54mm_Male","01x06_2.54mm_Male",71.6000,-66.5000,180.0,bottom
"SCRR3","75R","R_0402_1005Metric",20.9450,-126.4750,0.0,bottom
"MATC11","22uF_10V","C_0603_1608Metric",90.7100,-128.9625,0.0,bottom
"SCRC2","4.7uF","C_0402_1005Metric",14.3300,-132.6450,0.0,bottom
"SERIGNORE8","Servo4","BoardText",22.7000,-32.4579,-90.0,bottom
"MATJ5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",68.0200,-149.5000,180.0,bottom
"BLKJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",71.6000,-93.5000,180.0,bottom
"BEXIGNORE3","11","BoardText",105.0700,-3.8900,180.0,bottom
"SERIGNORE6","Servo2","BoardText",13.8000,-32.6200,-90.0,bottom
"MATR1","75R","R_0402_1005Metric",94.5625,-158.2200,180.0,bottom
"SCRJ3","FFC_connector_22p_dual_sided","FFC_connector_22p_hinge_lock",34.2600,-135.0450,-90.0,bottom
"SCRJ5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",47.0000,-149.5000,0.0,bottom
"USBJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",145.4000,-12.5000,0.0,bottom
"BUTJ5","01x06_2.54mm_Female","01x06_2.54mm_Female",145.4000,-39.5000,0.0,bottom
"BEXJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",71.6000,-12.5000,180.0,bottom
"BLKJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",110.9000,-93.5000,0.0,bottom
"MATC15","22uF_10V","C_0603_1608Metric",105.5500,-154.4375,0.0,bottom
"SCRC8","4.7uF","C_0402_1005Metric",15.0700,-138.8600,180.0,bottom
"BEXJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",110.9000,-12.5000,0.0,bottom
"DISJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",179.9000,-39.5000,0.0,bottom
"LIGJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",135.1000,-93.5000,180.0,bottom
"SERIGNORE7","Servo3","BoardText",18.2000,-32.5500,-90.0,bottom
"LIGJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",145.4000,-93.5000,0.0,bottom
"BATJ6","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-12.5000,0.0,bottom
"SCRR1","75R","R_0402_1005Metric",13.9800,-126.2250,0.0,bottom
"MOTJ7","01x06_2.54mm_Female","01x06_2.54mm_Female",110.9000,-39.5000,0.0,bottom
"BATIGNORE2","ON","BoardText",46.0421,-6.5000,180.0,bottom
"BATIGNORE8","Only connect","BoardText",44.4500,-13.5500,-90.0,bottom
"SERIGNORE9","Servo5","BoardText",27.1750,-32.4329,-90.0,bottom
"BATIGNORE4","+","BoardText",37.8500,-9.2449,180.0,bottom
"MATR4","1K","R_0402_1005Metric",84.8150,-144.6000,-90.0,bottom
"MATR3","75R","R_0402_1005Metric",84.3975,-158.8450,90.0,bottom
"SCRJ6","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",8.6000,-149.5000,180.0,bottom
"MATC16","22uF_10V","C_0603_1608Metric",90.8100,-135.3100,180.0,bottom
"TMPJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",145.4000,-66.5000,0.0,bottom
"LEDJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",179.9000,-66.5000,0.0,bottom
"MATJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",71.6000,-120.5000,180.0,bottom
"BATJ7","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-12.5000,180.0,bottom
"SERIGNORE3","5V","BoardText",44.6921,-33.8250,180.0,bottom
"BATIGNORE9","1 battery!","BoardText",44.4500,-13.3500,90.0,bottom
"BTSJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-93.5000,180.0,bottom
"BEXIGNORE4","12","BoardText",74.1900,-10.0100,180.0,bottom
"SERIGNORE2","GND","BoardText",45.3000,-31.1250,180.0,bottom
"MATC7","22uF_10V","C_0603_1608Metric",90.8100,-141.9300,0.0,bottom
"BUTJ2","01x06_2.54mm_Male","01x06_2.54mm_Male",135.1000,-39.5000,180.0,bottom
