Designator,Mid X,Mid Y,Layer,Rotation
MATQ1,85.5mm,-148.27mm,Bottom,0
MATU2,89.93mm,-155.62mm,Bottom,270
MATJ4,112.5mm,-149.5mm,Bottom,90
WIRJ2,179.9mm,-12.5mm,Bottom,270
DIAJ5,110.9mm,-66.5mm,Bottom,270
BTSJ2,47.4mm,-93.5mm,Bottom,270
USBJ1,135.1mm,-12.5mm,Bottom,90
MOTJ5,71.6mm,-39.5mm,Bottom,90
POWJ1,169.6mm,-93.5mm,Bottom,90
MATC8,84.19mm,-115.45mm,Bottom,0
MATC3,98.05mm,-154.05mm,Bottom,270
MATC2,94.63mm,-154.09mm,Bottom,270
SCRR2,18.52mm,-126.51mm,Bottom,90
SERJ1,8.1mm,-39.5mm,Bottom,90
MATC1,103.22mm,-154.12mm,Bottom,270
MATC6,108.1mm,-131.46mm,Bottom,90
WIRJ1,169.6mm,-12.5mm,Bottom,90
SERJ3,47.4mm,-39.5mm,Bottom,270
DIAJ3,71.6mm,-66.5mm,Bottom,90
SCRR3,20.94mm,-126.47mm,Bottom,90
MATC11,90.71mm,-128.96mm,Bottom,90
SCRC2,14.33mm,-132.64mm,Bottom,90
MATJ5,68.02mm,-149.5mm,Bottom,270
BLKJ1,71.6mm,-93.5mm,Bottom,90
MATR1,94.56mm,-158.22mm,Bottom,270
SCRJ3,34.26mm,-135.04mm,Bottom,270
SCRJ5,47.0mm,-149.5mm,Bottom,90
USBJ3,145.4mm,-12.5mm,Bottom,270
BUTJ5,145.4mm,-39.5mm,Bottom,270
BEXJ1,71.6mm,-12.5mm,Bottom,90
BLKJ2,110.9mm,-93.5mm,Bottom,270
MATC15,105.55mm,-154.43mm,Bottom,90
SCRC8,15.07mm,-138.86mm,Bottom,270
BEXJ3,110.9mm,-12.5mm,Bottom,270
DISJ2,179.9mm,-39.5mm,Bottom,270
LIGJ1,135.1mm,-93.5mm,Bottom,90
LIGJ2,145.4mm,-93.5mm,Bottom,270
BATJ6,47.4mm,-12.5mm,Bottom,270
SCRR1,13.98mm,-126.22mm,Bottom,90
MOTJ7,110.9mm,-39.5mm,Bottom,270
MATR4,84.81mm,-144.6mm,Bottom,0
MATR3,84.39mm,-158.84mm,Bottom,180
SCRJ6,8.6mm,-149.5mm,Bottom,270
MATC16,90.81mm,-135.31mm,Bottom,270
TMPJ2,145.4mm,-66.5mm,Bottom,270
LEDJ3,179.9mm,-66.5mm,Bottom,270
MATJ1,71.6mm,-120.5mm,Bottom,90
BATJ7,8.1mm,-12.5mm,Bottom,90
BTSJ1,8.1mm,-93.5mm,Bottom,90
MATC7,90.81mm,-141.93mm,Bottom,90
BUTJ2,135.1mm,-39.5mm,Bottom,90
SCRR4,19.77mm,-126.51mm,Bottom,90
MATC4,94.63mm,-156.03mm,Bottom,90
JOYJ1,8.1mm,-66.5mm,Bottom,90
SCRQ2,26.19mm,-137.54mm,Bottom,90
SCRC1,14.33mm,-130.63mm,Bottom,270
MATU1,100.6mm,-154.57mm,Bottom,90
SCRU3,19.04mm,-131.49mm,Bottom,90
MATC13,90.89mm,-148.57mm,Bottom,270
SCRC9,20.07mm,-139.72mm,Bottom,270
MATR5,84.43mm,-157.72mm,Bottom,180
LEDJ1,169.6mm,-66.5mm,Bottom,90
MATJ2,110.9mm,-120.5mm,Bottom,270
SCRU2,17.57mm,-139.26mm,Bottom,270
MATC12,105.97mm,-120.55mm,Bottom,180
SCRJ2,47.4mm,-120.5mm,Bottom,270
MATR6,84.46mm,-156.62mm,Bottom,180
POWJ3,179.9mm,-93.5mm,Bottom,270
MATR2,84.82mm,-145.85mm,Bottom,180
SCRR5,29.54mm,-138.21mm,Bottom,0
JOYJ3,47.4mm,-66.5mm,Bottom,270
TMPJ1,135.1mm,-66.5mm,Bottom,90
SCRJ1,8.1mm,-120.5mm,Bottom,90
DISJ1,169.6mm,-39.5mm,Bottom,90
SCRR7,23.59mm,-138.64mm,Bottom,270
