Ref,Val,Package,PosX,PosY,Rot,Side
"BATC9","4.7uF","C_0402_1005Metric",13.9000,-21.5500,-90.0,top
"BTSC9","4.7uF","C_0402_1005Metric",41.1500,-102.7100,0.0,top
"TMPC1","0.1uF","C_0402_1005Metric",144.4785,-70.7750,0.0,top
"MATIGNORE1","LedMatrix v0.5","BoardText",105.3400,-161.3900,0.0,top
"WIRAE1","Antenna_MIFA_Cypress","Antenna_cypress_MIFA",170.4750,-2.2750,0.0,top
"LIGH1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",129.5000,-103.5000,0.0,top
"BUTC9","4.7uF","C_0402_1005Metric",133.4000,-29.1850,0.0,top
"BTSU2","ME6211C33M5G-N","SOT-23-5",43.6500,-102.2450,90.0,top
"USBC2","4.7uF","C_0402_1005Metric",135.6000,-9.2750,90.0,top
"SERC12","22uF_25V","C_0805_2012Metric",42.7100,-49.1875,0.0,top
"LEDJ7","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",182.1050,-66.5000,0.0,top
"BTSU3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",33.0625,-101.3750,180.0,top
"BEXJ7","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",113.0000,-12.5000,0.0,top
"BTSJ5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.9500,-93.5000,180.0,top
"WIRC11","4.7uF","C_0402_1005Metric",162.5500,-4.6750,180.0,top
"BLKR5","10K","R_0402_1005Metric",80.9000,-88.5000,0.0,top
"WIRJ4","swd_4pin","swd_header",167.3500,-23.6000,90.0,top
"LEDR1","75R","R_0402_1005Metric",178.9250,-68.3250,180.0,top
"SERC5","22uF_25V","C_0805_2012Metric",32.0600,-49.1750,0.0,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",8.0000,-165.5000,0.0,top
"SERJ9","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",33.0000,-32.8100,180.0,top
"BEXH4","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",115.0000,-22.5000,0.0,top
"DIAC2","4.7uF","C_0402_1005Metric",79.7375,-62.8250,-90.0,top
"DISU2","ME6211C33M5G-N","SOT-23-5",166.7750,-30.3300,-90.0,top
"TMPU1","HDC1080","Texas_PWSON-N6",139.3000,-56.1500,0.0,top
"BLKR9","10K","R_0402_1005Metric",100.2500,-95.3650,0.0,top
"WIRR3","120R","R_0402_1005Metric",168.9750,-14.4650,180.0,top
"LEDIGNORE4","5V","BoardText",171.2000,-55.1500,90.0,top
"SERJ10","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",37.5000,-32.7850,180.0,top
"SERH2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",51.5000,-29.5500,0.0,top
"MATD34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.0500,-141.9300,90.0,top
"DISR5","10K","R_0402_1005Metric",176.6250,-33.6000,-90.0,top
"WIRJ3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",182.0000,-12.5000,0.0,top
"MOTU1","DRV8833PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",90.2000,-38.3250,-90.0,top
"BATJ1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"MATD48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.0500,-155.1700,90.0,top
