Designator,Mid X,Mid Y,Layer,Rotation
BATC9,13.9mm,-21.55mm,Top,180
BTSC9,41.15mm,-102.71mm,Top,270
TMPC1,144.47mm,-70.77mm,Top,270
BUTC9,133.4mm,-29.18mm,Top,270
BTSU2,43.65mm,-102.24mm,Top,90
USBC2,135.6mm,-9.27mm,Top,0
SERC12,42.71mm,-49.18mm,Top,270
LEDJ7,182.1mm,-66.5mm,Top,270
BTSU3,33.06mm,-101.37mm,Top,90
BEXJ7,113.0mm,-12.5mm,Top,270
BTSJ5,4.95mm,-93.5mm,Top,90
WIRC11,162.55mm,-4.67mm,Top,90
BLKR5,80.9mm,-88.5mm,Top,270
LEDR1,178.92mm,-68.32mm,Top,90
SERC5,32.06mm,-49.17mm,Top,270
SERJ9,33.0mm,-32.81mm,Top,90
DIAC2,79.73mm,-62.82mm,Top,180
DISU2,166.77mm,-30.33mm,Top,270
TMPU1,139.3mm,-56.15mm,Top,0
BLKR9,100.25mm,-95.36mm,Top,270
WIRR3,168.97mm,-14.46mm,Top,90
SERJ10,37.5mm,-32.78mm,Top,90
MATD34,104.05mm,-141.93mm,Top,90
DISR5,176.62mm,-33.6mm,Top,180
WIRJ3,182.0mm,-12.5mm,Top,270
MOTU1,90.2mm,-38.32mm,Top,180
BATJ1,4.5mm,-12.5mm,Top,90
MATD48,104.05mm,-155.17mm,Top,90
BATR13,8.22mm,-3.7mm,Top,270
MATD12,97.43mm,-122.07mm,Top,270
USBC8,151.12mm,-21.17mm,Top,270
LEDC1,178.97mm,-70.77mm,Top,270
BATQ6,48.55mm,-21.8mm,Top,180
DISC6,173.65mm,-33.65mm,Top,0
TMPR4,134.89mm,-70.05mm,Top,180
BLKD2,105.97mm,-84.37mm,Top,0
DIAR1,75.98mm,-62.48mm,Top,90
BATJ3,50.0mm,-12.5mm,Top,270
JOYC2,12.89mm,-62.74mm,Top,180
SERC13,44.81mm,-49.21mm,Top,270
BLKSW1,75.5mm,-93.5mm,Top,90
JOYU1,27.0mm,-64.5mm,Top,90
DIAR4,76.06mm,-73.06mm,Top,270
SERC3,29.95mm,-45.15mm,Top,90
POWJ2,170.77mm,-84.8mm,Top,180
MATD2,77.57mm,-115.45mm,Top,90
MOTC15,81.82mm,-41.23mm,Top,90
BATC10,30.3mm,-20.95mm,Top,90
MOTU3,100.2mm,-44.47mm,Top,180
DISJ5,166.0mm,-39.5mm,Top,90
BATC13,21.72mm,-7.11mm,Top,90
LIGJ5,131.5mm,-93.5mm,Top,90
SERR5,30.71mm,-41.32mm,Top,0
LEDR2,169.31mm,-71.75mm,Top,180
MOTJ1,68.0mm,-39.5mm,Top,90
DISR8,180.54mm,-48.25mm,Top,0
SERJ5,15.0mm,-32.81mm,Top,90
DISC9,169.27mm,-29.86mm,Top,90
MOTC2,101.74mm,-39.75mm,Top,180
SERC8,36.12mm,-44.37mm,Top,270
BUTR1,134.7mm,-33.25mm,Top,270
POWR2,168.4mm,-89.02mm,Top,0
BUTU2,130.9mm,-29.65mm,Top,270
LIGR2,134.8mm,-98.45mm,Top,180
BEXC9,101.87mm,-21.19mm,Top,270
MOTC10,81.77mm,-44.8mm,Top,270
BATC14,22.26mm,-4.7mm,Top,180
BEXR6,81.35mm,-17.7mm,Top,180
WIRR6,169.54mm,-7.4mm,Top,0
BLKR4,91.19mm,-99.92mm,Top,180
TMPR1,144.47mm,-68.67mm,Top,90
LIGC2,144.47mm,-99.78mm,Top,90
JOYC8,9.02mm,-58.54mm,Top,90
BLKU2,107.15mm,-102.24mm,Top,90
WIRL4,173.75mm,-5.66mm,Top,270
SERC11,40.58mm,-49.18mm,Top,270
MOTC5,89.44mm,-43.14mm,Top,180
BLKSW3,94.5mm,-93.5mm,Top,180
DISR10,168.95mm,-48.02mm,Top,180
SERJ12,5.14mm,-39.5mm,Top,90
BATD2,22.27mm,-1.0mm,Top,180
BTSC2,38.52mm,-103.5mm,Top,90
SERR6,30.81mm,-40.07mm,Top,0
TMPC2,144.47mm,-72.78mm,Top,90
BATSW1,43.1mm,-2.4mm,Top,180
BTSSW1,12.0mm,-93.5mm,Top,90
WIRC12,179.92mm,-21.62mm,Top,270
MOTJ2,75.3mm,-33.97mm,Top,90
