"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"BATC9,BTSC9,BUTC9,USBC2,WIRC11,DIAC2,USBC8,JOYC2,SERC3,BATC13,DISC9,MOTC2,SERC8,BEXC9,BATC14,LIGC2,JOYC8,BTSC2,TMPC2,WIRC12,MOTC8,TMPC8,DIAC8,WIRC8,TMPC9,BTSC8,WIRC9,BEXC8,BATC8,DISC8,BUTC8,BUTC2,DISC5,MOTC9,BEXC4,BATC2,USBC9,LEDC8,USBC5,SERC9,WIRC2,LEDC2,DISC3,DIAC9,BLKC8,LIGC3,JOYC9,USBC1,BLKC9,TMPC3,LEDC9,DISC4,BLKC2,LIGC9,WIRC15,LIGC8,MATC3,MATC2,MATC1,SCRC2,SCRC8,SCRC9";"C_0402_1005Metric";62;"4.7uF";
2;"TMPC1,LEDC1,DISC11,MOTC1,LIGC1,SERC4,BATC1,JOYC1,DIAC1,WIRC1,USBC4,BLKC1,BATC3,BEXC3,BTSC1,BUTC1,MATC4,SCRC1";"C_0402_1005Metric";18;"0.1uF";
3;"MATIGNORE1";"BoardText";1;"LedMatrix v0.5";
4;"WIRAE1";"Antenna_cypress_MIFA";1;"Antenna_MIFA_Cypress";
5;"LIGH1,BEXH4,SERH2,USBH2,MOTH4,SERH3,MOTH1,BLKH4,LEDH2,BTSH1,SERH4,TMPH1,MATH4,DIAH4,JOYH1,DIAH2,BUTH2,SCRH1,POWH1,MATH1,JOYH3,MOTH2,LEDH1,BTSH3,BTSH2,BLKH3,DISH1,MOTH3,DISH2,LIGH2,JOYH4,JOYH2,BTSH4,SERH1,USBH1,BATH2,BLKH2,MATH2,MATH3,BEXH3,SCRH4,WIRH1,BEXH1,BUTH1,SCRH2,DIAH3,POWH2,BEXH2,DIAH1,TMPH2,BATH1,SCRH3,BLKH1,WIRH2";"MountingHole_2.7mm_M2.5_ISO7380";54;"M2.5MountingHole";
6;"BTSU2,DISU2,BUTU2,BLKU2,BEXU2,LIGU2,BATU2,WIRU2,JOYU2,LEDU2,MOTU2,WIRU1,DIAU2,TMPU2,SERU2,USBU2,MATU1,SCRU2";"SOT-23-5";18;"ME6211C33M5G-N";
7;"SERC12,SERC5,SERC13,MOTC15,BATC10,MOTC10,SERC11,SERC10,SERC6,MOTC12,BATC5,MOTC4,BATC11,SERC7,MOTC14,MOTC13,MOTC11,MOTC16,SERC14";"C_0805_2012Metric";19;"22uF_25V";
8;"LEDJ7,BEXJ7,BTSJ5,WIRJ3,BATJ1,BATJ3,DISJ5,LIGJ5,MOTJ1,SERJ12,BUTJ3,WIRJ5,BTSJ3,JOYJ5,USBJ5,POWJ6,BUTJ1,SERJ13,JOYJ2,DISJ3,TMPJ3,POWJ5,LEDJ5,USBJ6,BLKJ3,BLKJ5,DIAJ1,DIAJ2,TMPJ5,LIGJ3,BEXJ5,MATJ4,MATJ5,SCRJ5,SCRJ6";"FFC_connector_16p_hinge_lock";35;"FFC_connector_16p_hinge_lock";
9;"BTSU3,MOTU3,JOYU3,LIGU3,BUTU3,TMPU3,BATU3,DIAU3,WIRU3,LEDU3,BLKU3,MATU2,SCRU3";"TSSOP-20_4.4x6.5mm_P0.65mm";13;"STM32G030F6P6";
10;"BLKR5,BLKR9,DISR5,BLKR6,LIGR6,BTSR9,BUTR5,BTSR6,BLKR8,DISR6,BTSR8,TMPR5,JOYR6,BATR18,DIAR5,TMPR6,BTSR7,BATR19,LIGR5,BTSR5,BLKR7,SCRR7";"R_0402_1005Metric";22;"10K";
