Comment,Designator,Footprint,LCSC Part Number
4.7uF,"BATC9,BTSC9,BUTC9,USBC2,WIRC11,DIAC2,USBC8,JOYC2,SERC3,BATC13,DISC9,MOTC2,SERC8,BEXC9,BATC14,LIGC2,JOYC8,BTSC2,TMPC2,WIRC12,MOTC8,TMPC8,DIAC8,WIRC8,TMPC9,BTSC8,WIRC9,BEXC8,BATC8,DISC8,BUTC8,BUTC2,DISC5,MOTC9,BEXC4,BATC2,USBC9,LEDC8,USBC5,SERC9,WIRC2,LEDC2,DISC3,DIAC9,BLKC8,LIGC3,JOYC9,USBC1,BLKC9,TMPC3,LEDC9,DISC4,BLKC2,LIGC9,WIRC15,LIGC8,MATC3,MATC2,MATC1,SCRC2,SCRC8,SCRC9",C_0402_1005Metric,C23733
0.1uF,"TMPC1,LEDC1,DISC11,MOTC1,LIGC1,SERC4,BATC1,JOYC1,DIAC1,WIRC1,USBC4,BLKC1,BATC3,BEXC3,BTSC1,BUTC1,MATC4,SCRC1",C_0402_1005Metric,C1525
ME6211C33M5G-N,"BTSU2,DISU2,BUTU2,BLKU2,BEXU2,LIGU2,BATU2,WIRU2,JOYU2,LEDU2,MOTU2,WIRU1,DIAU2,TMPU2,SERU2,USBU2,MATU1,SCRU2",SOT-23-5,C81233
22uF_25V,"SERC12,SERC5,SERC13,MOTC15,BATC10,MOTC10,SERC11,SERC10,SERC6,MOTC12,BATC5,MOTC4,BATC11,SERC7,MOTC14,MOTC13,MOTC11,MOTC16,SERC14",C_0805_2012Metric,C602037
FFC_connector_16p_hinge_lock,"LEDJ7,BEXJ7,BTSJ5,WIRJ3,BATJ1,BATJ3,DISJ5,LIGJ5,MOTJ1,SERJ12,BUTJ3,WIRJ5,BTSJ3,JOYJ5,USBJ5,POWJ6,BUTJ1,SERJ13,JOYJ2,DISJ3,TMPJ3,POWJ5,LEDJ5,USBJ6,BLKJ3,BLKJ5,DIAJ1,DIAJ2,TMPJ5,LIGJ3,BEXJ5,MATJ4,MATJ5,SCRJ5,SCRJ6",FFC_connector_16p_hinge_lock,C262665
STM32G030F6P6,"BTSU3,MOTU3,JOYU3,LIGU3,BUTU3,TMPU3,BATU3,DIAU3,WIRU3,LEDU3,BLKU3,MATU2,SCRU3",TSSOP-20_4.4x6.5mm_P0.65mm,C529330
10K,"BLKR5,BLKR9,DISR5,BLKR6,LIGR6,BTSR9,BUTR5,BTSR6,BLKR8,DISR6,BTSR8,TMPR5,JOYR6,BATR18,DIAR5,TMPR6,BTSR7,BATR19,LIGR5,BTSR5,BLKR7,SCRR7",R_0402_1005Metric,C25744
75R,"LEDR1,TMPR4,DIAR1,DIAR4,SERR5,LEDR2,DISR8,BUTR1,LIGR2,BEXR6,BLKR4,TMPR1,DISR10,SERR6,BLKR3,LEDR3,JOYR1,LEDR4,BLKR2,USBR7,MOTR4,BLKR1,BTSR2,MOTR2,SERR8,BTSR1,BUTR2,MOTR1,LIGR1,JOYR4,BATR2,LIGR3,LIGR4,BEXR7,BATR3,USBR4,DISR9,JOYR2,TMPR3,USBR5,MOTR3,BATR4,BEXR5,BTSR3,TMPR2,BATR1,DIAR2,BTSR4,BUTR3,DIAR3,BEXR8,DISR7,USBR6,BUTR4,JOYR3,SERR7,SCRR2,SCRR3,MATR1,SCRR1,MATR3,SCRR4,MATR5,MATR6",R_0402_1005Metric,C25133
Conn_01x03_Pin,"SERJ9,SERJ10,SERJ5,SERJ8,SERJ2,SERJ6,SERJ11,SERJ7",PinHeader_1x03_P2.54mm_Vertical,C429954
HDC1080,TMPU1,Texas_PWSON-N6,C82227
120R,"WIRR3,WIRR1,WIRR4,WIRR2",R_0402_1005Metric,C25079
WS2812B,"MATD34,MATD48,MATD12,MATD2,MATD37,MATD47,MATD39,MATD42,MATD11,MATD3,MATD18,MATD16,MATD15,MATD29,MATD17,MATD38,MATD28,MATD4,MATD36,MATD43,MATD21,MATD14,MATD26,MATD24,MATD8,MATD22,MATD40,MATD32,MATD6,MATD10,MATD49,MATD44,MATD41,MATD35,MATD31,MATD33,MATD20,MATD30,MATD46,MATD9,MATD27,MATD13,MATD23,MATD1,MATD25,MATD19,MATD7,MATD5,MATD45",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
DRV8833PWP,MOTU1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506
0.01R,BATR13,R_0805_2012Metric,C2912728
PMOS_2A,"BATQ6,BATQ2",SOT-23,C306862
12pF,"DISC6,USBC6,USBC7,WIRC6,WIRC5,DISC7",C_0402_1005Metric,C1547
1N4148W,"BLKD2,DIAD2,BUTD3,BTSD2",D_SOD-123,C81598
button_6x6x7,"BLKSW1,BLKSW3,BTSSW1,BUTSW2,BTSSW2,BTSSW4,BTSSW3,BLKSW2,BLKSW6,BLKSW4,BTSSW6",SW_SPST_PTS645,C381064
Joystick,JOYU1,Joystick,C146170
USB_C_connector_16P,"POWJ2,USBJ2",USB_C_Receptacle_16P,C319148
5.1K,"POWR2,USBR2,BATR12,BATR17,BATR11,USBR1,POWR1",R_0402_1005Metric,C25905
22K,WIRR6,R_0402_1005Metric,C25768
2.7nH,WIRL4,C_0402_1005Metric,C880718
0.1uF_50V,MOTC5,C_0402_1005Metric,C77020
red_led,BATD2,LED_SML-D12D1WT86,C2286
side_spst_switch,BATSW1,side_spst_switch,C431548
SM06B-SRSS-TB,"MOTJ2,MOTJ6",JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,C160405
1.5K,USBR12,R_0402_1005Metric,C25867
STM32G030K6T6,"SERU1,BEXU1",LQFP-32_7x7mm_P0.8mm,C529331
10pF,BATC7,C_0402_1005Metric,C32949
ConnBattery_JST_S2B-PH-K-S,"BATJ5,BATJ8",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
2.2nF,WIRC4,C_0402_1005Metric,C1531
S2B-ZR-SM4A-TF,"MOTJ9,MOTJ8",S2B-ZR-SM4A-TF,C265329
