Ref,Val,Package,PosX,PosY,Rot,Side
"SPKC10","220pF","C_0402_1005Metric",13.9500,-64.4000,180.0,bottom
"BATIGNORE5","-","BoardText",37.3920,-17.5500,180.0,bottom
"SPKR7","75R","R_0402_1005Metric",37.9800,-65.4800,-90.0,bottom
"BATIGNORE6","-","BoardText",28.3341,-7.7051,180.0,bottom
"SPKR4","75R","R_0402_1005Metric",36.9500,-59.8000,-90.0,bottom
"SPKR9","75R","R_0402_1005Metric",37.9150,-66.6500,-90.0,bottom
"SPKR6","75R","R_0402_1005Metric",37.9150,-64.3000,-90.0,bottom
"MOTJ5","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-39.5000,180.0,bottom
"BATIGNORE6","-","BoardText",28.5341,-19.0051,180.0,bottom
"BATIGNORE3","OFF","BoardText",40.4500,-6.5000,180.0,bottom
"MOTC15","22uF_25V","C_0805_2012Metric",30.3500,-41.5000,0.0,bottom
"BATIGNORE4","+","BoardText",35.3920,-17.5500,180.0,bottom
"MOTC10","22uF_25V","C_0805_2012Metric",20.2250,-41.3875,0.0,bottom
"SPKJ3","01x06_2.54mm_Female","01x06_2.54mm_Female",47.1000,-66.5000,0.0,bottom
"SPKC8","4.7uF","C_0402_1005Metric",43.6500,-57.8000,0.0,bottom
"SPKC11","4.7uF","C_0402_1005Metric",33.7000,-61.8050,180.0,bottom
"MOTIGNORE13","5V","BoardText",41.2670,-45.8100,0.0,bottom
"MOTIGNORE11","Servo8","BoardText",27.4239,-55.8000,90.0,bottom
"MOTIGNORE14","DATA","BoardText",41.2670,-44.3100,0.0,bottom
"MOTIGNORE9","Servo6","BoardText",30.4239,-55.8000,90.0,bottom
"SPKC4","220pF","C_0402_1005Metric",14.3500,-62.8500,-90.0,bottom
"MOTIGNORE5","Servo2","BoardText",16.9000,-45.9500,90.0,bottom
"BATIGNORE5","-","BoardText",28.2262,-17.5551,180.0,bottom
"SPKC12","4.7uF","C_0402_1005Metric",17.6500,-61.9500,-90.0,bottom
"SPKJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",7.3000,-66.5000,180.0,bottom
"MOTC12","22uF_25V","C_0805_2012Metric",24.2000,-41.3875,0.0,bottom
"SPKR2","750K","R_0402_1005Metric",23.3500,-62.4000,90.0,bottom
"MOTIGNORE12","GND","BoardText",41.2670,-47.3100,0.0,bottom
"BATJ6","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-12.5000,0.0,bottom
"MOTJ7","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-39.5000,0.0,bottom
"BATIGNORE2","ON","BoardText",46.0421,-6.5000,180.0,bottom
"SPKC15","0.1uF","C_0402_1005Metric",34.9000,-62.8000,0.0,bottom
"BATIGNORE8","Only connect","BoardText",18.9420,-13.0500,180.0,bottom
"BATIGNORE4","+","BoardText",35.3920,-7.7000,180.0,bottom
"MOTC4","22uF_25V","C_0805_2012Metric",18.2000,-41.3875,0.0,bottom
"LIGJ2","01x06_2.54mm_Female","01x06_2.54mm_Female",81.9000,-12.5000,0.0,bottom
"SPKC9","4.7uF","C_0402_1005Metric",38.6500,-56.9350,180.0,bottom
"MOTIGNORE7","Servo4","BoardText",26.1750,-45.8475,90.0,bottom
"BATJ7","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-12.5000,180.0,bottom
"BATIGNORE9","1 battery!","BoardText",19.1500,-12.7000,0.0,bottom
"MOTC14","22uF_25V","C_0805_2012Metric",28.3750,-41.5000,0.0,bottom
"LIGJ1","01x06_2.54mm_Male","01x06_2.54mm_Male",71.6000,-12.5000,180.0,bottom
"MOTC13","22uF_25V","C_0805_2012Metric",26.4000,-41.5000,0.0,bottom
"BATIGNORE7","+","BoardText",30.3841,-7.7051,180.0,bottom
"MOTIGNORE8","Servo5","BoardText",31.9239,-55.8000,90.0,bottom
"BATIGNORE7","+","BoardText",30.3841,-17.5551,180.0,bottom
"MOTC11","22uF_25V","C_0805_2012Metric",22.2000,-41.3875,0.0,bottom
"MOTIGNORE10","Servo7","BoardText",28.9239,-55.8000,90.0,bottom
"MOTC16","22uF_25V","C_0805_2012Metric",32.3750,-41.5125,0.0,bottom
"MOTIGNORE6","Servo3","BoardText",21.6500,-45.8000,90.0,bottom
"SPKU2","ME6211C33M5G-N","SOT-23-5",41.1500,-57.4000,-90.0,bottom
"SPKU3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",28.8500,-62.6925,180.0,bottom
"SPKU1","MAX98357AEWL+T","WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm",17.5500,-64.3500,180.0,bottom
"MOTIGNORE4","Servo1","BoardText",12.2000,-45.8500,90.0,bottom
"BATIGNORE5","-","BoardText",37.3920,-7.7000,180.0,bottom
