Designator,Footprint,Mid X,Mid Y,TB,Rotation
SPKC10,C_0402_1005Metric,549.211mil,-2535.428mil,B,180
SPKR7,R_0402_1005Metric,1495.273mil,-2577.948mil,B,-90
SPKR4,R_0402_1005Metric,1454.722mil,-2354.326mil,B,-90
SPKR9,R_0402_1005Metric,1492.517mil,-2624.01mil,B,-90
SPKR6,R_0402_1005Metric,1492.517mil,-2531.491mil,B,-90
MOTJ5,01x06_2.54mm_Male,318.897mil,-1555.115mil,B,180
MOTC15,C_0805_2012Metric,1194.88mil,-1633.855mil,B,0
MOTC10,C_0805_2012Metric,796.061mil,-1629.131mil,B,0
SPKJ3,01x06_2.54mm_Female,1854.327mil,-2618.105mil,B,0
SPKC8,C_0402_1005Metric,1718.5mil,-2275.586mil,B,0
SPKC11,C_0402_1005Metric,1326.769mil,-2433.066mil,B,180
SPKC4,C_0402_1005Metric,564.959mil,-2474.405mil,B,-90
SPKC12,C_0402_1005Metric,694.88mil,-2438.972mil,B,-90
SPKJ1,01x06_2.54mm_Male,287.401mil,-2618.105mil,B,180
MOTC12,C_0805_2012Metric,952.754mil,-1629.131mil,B,0
SPKR2,R_0402_1005Metric,919.289mil,-2456.688mil,B,90
BATJ6,01x06_2.54mm_Female,1866.138mil,-492.125mil,B,0
MOTJ7,01x06_2.54mm_Female,1866.138mil,-1555.115mil,B,0
SPKC15,C_0402_1005Metric,1374.013mil,-2472.436mil,B,0
MOTC4,C_0805_2012Metric,716.534mil,-1629.131mil,B,0
LIGJ2,01x06_2.54mm_Female,3224.403mil,-492.125mil,B,0
SPKC9,C_0402_1005Metric,1521.65mil,-2241.334mil,B,180
BATJ7,01x06_2.54mm_Male,318.897mil,-492.125mil,B,180
MOTC14,C_0805_2012Metric,1116.927mil,-1633.855mil,B,0
LIGJ1,01x06_2.54mm_Male,2818.892mil,-492.125mil,B,180
MOTC13,C_0805_2012Metric,1039.368mil,-1633.855mil,B,0
MOTC11,C_0805_2012Metric,874.014mil,-1629.131mil,B,0
MOTC16,C_0805_2012Metric,1274.407mil,-1634.249mil,B,0
SPKU2,SOT-23-5,1620.075mil,-2259.838mil,B,-90
SPKU3,TSSOP-20_4.4x6.5mm_P0.65mm,1135.824mil,-2468.105mil,B,180
SPKU1,WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm,690.943mil,-2533.459mil,B,180
