Designator,Mid X,Mid Y,Layer,Rotation
BATC9,13.9mm,-21.55mm,Top,180
LIGC6,65.49mm,-4.2mm,Top,90
LIGR12,81.3mm,-20.3mm,Top,0
LIGR9,80.55mm,-21.85mm,Top,0
LIGC7,73.61mm,-3.55mm,Top,270
MOTU1,28.1mm,-30.4mm,Top,270
BATJ1,4.5mm,-12.5mm,Top,90
SPKLS2,29.05mm,-67.4mm,Top,90
MOTC1,40.15mm,-28.9mm,Top,0
BATR13,8.22mm,-3.7mm,Top,270
BATC4,2.35mm,-3.36mm,Top,90
LIGR2,71.3mm,-17.45mm,Top,180
BATQ6,48.55mm,-21.8mm,Top,180
LIGR7,72.49mm,-1.53mm,Top,90
BATJ3,50.0mm,-12.5mm,Top,270
LIGC2,80.97mm,-18.78mm,Top,90
LIGU3,76.26mm,-17.62mm,Top,90
MOTJ2,22.42mm,-45.39mm,Top,90
MOTJ11,49.53mm,-39.65mm,Top,270
BATC10,30.65mm,-21.7mm,Top,90
BATC13,21.72mm,-7.11mm,Top,90
MOTC2,32.7mm,-30.7mm,Top,90
LIGR8,66.62mm,-2.16mm,Top,270
LIGJ3,84.0mm,-12.5mm,Top,270
BATC14,22.26mm,-4.7mm,Top,180
LIGR10,66.65mm,-4.23mm,Top,270
MOTC5,33.8mm,-31.35mm,Top,270
SPKJ12,4.84mm,-66.5mm,Top,90
BATD2,22.27mm,-1.0mm,Top,180
MOTC26,34.95mm,-37.5mm,Top,90
MOTR13,29.16mm,-37.85mm,Top,180
BATSW1,43.6mm,-2.4mm,Top,180
MOTJ3,19.3mm,-30.51mm,Top,270
MOTU2,13.65mm,-36.48mm,Top,270
BATC7,23.25mm,-20.95mm,Top,0
LIGC9,82.25mm,-22.48mm,Top,270
BATQ2,42.67mm,-21.86mm,Top,180
BATJ5,29.3mm,-14.25mm,Top,0
LIGC5,73.6mm,-6.25mm,Top,90
BATJ2,15.25mm,-3.4mm,Top,180
MOTJ1,4.5mm,-39.5mm,Top,90
BATU6,4.75mm,-3.57mm,Top,270
LIGR11,72.5mm,-3.56mm,Top,90
BATIC1,19.4mm,-7.8mm,Top,270
BATC8,19.4mm,-21.35mm,Top,270
BATU8,24.13mm,-7.17mm,Top,90
BATR5,36.9mm,-18.69mm,Top,90
BATU5,26.12mm,-21.4mm,Top,0
LIGR3,71.47mm,-13.14mm,Top,90
LIGU6,76.0mm,-7.12mm,Top,0
BATU2,16.9mm,-21.75mm,Top,90
SPKJ13,49.23mm,-66.5mm,Top,270
BATC1,19.95mm,-16.0mm,Top,270
BATR10,23.29mm,-23.07mm,Top,180
BATR9,23.26mm,-22.02mm,Top,0
BATC5,27.62mm,-18.17mm,Top,270
MOTC3,42.15mm,-28.85mm,Top,180
BATR16,21.76mm,-2.35mm,Top,0
BATR6,38.0mm,-18.65mm,Top,270
MOTJ8,42.27mm,-45.39mm,Top,90
MOTC8,11.15mm,-36.88mm,Top,90
BATR2,8.2mm,-17.13mm,Top,270
SPKJ2,12.05mm,-58.03mm,Top,180
MOTU4,40.8mm,-34.85mm,Top,180
MOTR14,29.08mm,-34.7mm,Top,180
BATU4,42.68mm,-10.85mm,Top,90
BATU3,14.23mm,-15.82mm,Top,90
BATR3,8.2mm,-13.05mm,Top,90
BATR12,16.4mm,-7.05mm,Top,0
BATC2,18.75mm,-16.88mm,Top,90
LIGR4,71.39mm,-16.05mm,Top,180
BATJ8,36.3mm,-14.25mm,Top,0
BATR15,20.37mm,-19.77mm,Top,0
LIGU2,84.75mm,-22.01mm,Top,90
BATL1,25.2mm,-17.92mm,Top,90
BATC11,28.65mm,-21.7mm,Top,90
BATR18,22.99mm,-19.38mm,Top,270
BATR17,26.7mm,-6.43mm,Top,90
BATR4,8.2mm,-15.05mm,Top,270
MOTC9,16.2mm,-35.63mm,Top,90
LIGC8,87.25mm,-21.61mm,Top,270
BATR1,12.9mm,-10.15mm,Top,90
MOTJ6,32.37mm,-45.39mm,Top,90
MOTR12,29.1mm,-36.8mm,Top,180
MOTR11,29.11mm,-35.75mm,Top,180
BATR7,43.69mm,-7.95mm,Top,180
BATR11,13.86mm,-7.07mm,Top,180
LIGC3,78.49mm,-1.85mm,Top,270
BATQ5,38.95mm,-21.81mm,Top,180
BATR14,20.31mm,-17.62mm,Top,180
LIGC1,80.97mm,-16.77mm,Top,270
MOTJ10,11.0mm,-30.51mm,Top,270
LIGR1,80.97mm,-14.67mm,Top,90
LIGC4,73.7mm,-1.48mm,Top,90
BATU1,34.84mm,-19.24mm,Top,90
BATC6,25.77mm,-23.47mm,Top,180
MOTJ9,12.5mm,-45.39mm,Top,90
LIGU1,80.77mm,-2.01mm,Top,270
LIGU5,69.64mm,-3.6mm,Top,90
BATC3,20.36mm,-18.72mm,Top,0
LIGJ5,68.0mm,-12.5mm,Top,90
LIGC10,77.28mm,-4.55mm,Top,180
MOTC6,34.31mm,-29.55mm,Top,180
LIGU4,76.51mm,-2.03mm,Top,270
BATR19,46.15mm,-22.07mm,Top,90
BATC12,41.59mm,-7.95mm,Top,0
BATR20,45.07mm,-22.06mm,Top,90
MOTR5,22.95mm,-37.16mm,Top,0
MOTR6,19.65mm,-37.16mm,Top,0
