Designator,Footprint,Mid X,Mid Y,TB,Rotation
BATC9,C_0402_1005Metric,547.243mil,-848.423mil,T,-90
LIGC6,C_0402_1005Metric,2578.341mil,-165.354mil,T,180
LIGR12,R_0402_1005Metric,3200.781mil,-799.211mil,T,90
LIGR9,R_0402_1005Metric,3171.253mil,-860.235mil,T,90
LIGC7,C_0402_1005Metric,2898.026mil,-139.763mil,T,0
MOTU1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1106.297mil,-1196.848mil,T,0
BATJ1,FFC_connector_16p_hinge_lock,177.165mil,-492.125mil,T,180
SPKLS2,Speaker1.8x1.8,1143.698mil,-2653.538mil,T,180
MOTC1,C_0402_1005Metric,1580.705mil,-1137.793mil,T,90
BATR13,R_0805_2012Metric,323.621mil,-145.669mil,T,0
BATC4,C_0402_1005Metric,92.519mil,-132.283mil,T,180
LIGR2,R_0402_1005Metric,2807.081mil,-687.006mil,T,-90
BATQ6,SOT-23,1911.413mil,-858.266mil,T,-90
LIGR7,R_0402_1005Metric,2853.931mil,-60.236mil,T,180
BATJ3,FFC_connector_16p_hinge_lock,1968.5mil,-492.125mil,T,0
LIGC2,C_0402_1005Metric,3187.789mil,-739.369mil,T,180
LIGU3,TSSOP-20_4.4x6.5mm_P0.65mm,3002.356mil,-693.699mil,T,180
MOTJ2,PinHeader_2x03_P2.54mm_Vertical_SMD,882.675mil,-1787.004mil,T,180
MOTJ11,FFC_connector_16p_hinge_lock,1949.996mil,-1561.02mil,T,0
BATC10,C_0805_2012Metric,1206.69mil,-854.329mil,T,180
BATC13,C_0402_1005Metric,855.116mil,-279.921mil,T,180
MOTC2,C_0402_1005Metric,1287.399mil,-1208.659mil,T,180
LIGR8,R_0402_1005Metric,2622.829mil,-85.039mil,T,0
LIGJ3,FFC_connector_16p_hinge_lock,3307.08mil,-492.125mil,T,0
BATC14,C_0402_1005Metric,876.376mil,-185.039mil,T,-90
LIGR10,R_0402_1005Metric,2624.01mil,-166.535mil,T,0
MOTC5,C_0402_1005Metric,1330.706mil,-1234.249mil,T,0
SPKJ12,FFC_connector_16p_hinge_lock,190.551mil,-2618.105mil,T,180
