Comment,Designator,Footprint,LCSC Part Number
4.7uF,"BATC9,MOTC1,BATC4,LIGC2,BATC13,MOTC2,BATC14,MOTC26,LIGC9,LIGC5,BATC8,MOTC8,BATC2,MOTC9,LIGC8,LIGC3,LIGC4,LIGC10,SPKC8,SPKC11,SPKC12,SPKC9",C_0402_1005Metric,C23733
1uF,LIGC6,C_0402_1005Metric,C52923
10K,"LIGR12,LIGR9,BATR5,BATR6,BATR18,BATR19",R_0402_1005Metric,C25744
27pF,LIGC7,C_0402_1005Metric,C1557
DRV8833PWP,MOTU1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506
FFC_connector_16p_hinge_lock,"BATJ1,BATJ3,MOTJ11,LIGJ3,SPKJ12,MOTJ1,SPKJ13,LIGJ5",FFC_connector_16p_hinge_lock,C262665
SpeakerSmt,SPKLS2,Speaker1.8x1.8,C48542868
0.01R,BATR13,R_0805_2012Metric,C2912728
75R,"LIGR2,MOTR13,LIGR3,BATR2,MOTR14,BATR3,LIGR4,BATR4,BATR1,MOTR12,MOTR11,LIGR1,SPKR7,SPKR4,SPKR9,SPKR6",R_0402_1005Metric,C25133
PMOS_2A,"BATQ6,BATQ2",SOT-23,C306862
4.7K,LIGR7,R_0402_1005Metric,C25900
STM32G030F6P6,"LIGU3,BATU3,SPKU3",TSSOP-20_4.4x6.5mm_P0.65mm,C529330
Conn_02x03_Odd_Even,"MOTJ2,MOTJ8,MOTJ6,MOTJ9",PinHeader_2x03_P2.54mm_Vertical_SMD,C22438447
22uF_25V,"BATC10,BATC5,BATC11,MOTC15,MOTC10,MOTC12,MOTC4,MOTC14,MOTC13,MOTC11,MOTC16",C_0805_2012Metric,C602037
22K,"LIGR8,LIGR10",R_0402_1005Metric,C25768
0.1uF_50V,MOTC5,C_0402_1005Metric,C77020
red_led,BATD2,LED_SML-D12D1WT86,C2286
side_spst_switch,BATSW1,side_spst_switch,C431548
TerminalBlock_2P_3.5mm,"MOTJ3,MOTJ10",TerminalBlock_2P_3.5mm,C466970
ME6211C33M5G-N,"MOTU2,BATU2,LIGU2,SPKU2",SOT-23-5,C81233
10pF,BATC7,C_0402_1005Metric,C32949
ConnBattery_JST_S2B-PH-K-S,"BATJ5,BATJ8",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
USB_C_power_only_connector,BATJ2,USB_C_Receptacle_power_only_6P,C283540
INA180A3,BATU6,SOT-23-5,C122882
300K,LIGR11,R_0402_1005Metric,C25774
USBLC6-2P6,BATIC1,USBLC6-2P6,C2827693
TP4057,BATU8,SOT-23-6,C5380673
TPS61230A,BATU5,TPS61230A,C376005
LIS3DHTR,LIGU6,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134
0.1uF,"BATC1,MOTC3,LIGC1,BATC3,BATC12,SPKC15",C_0402_1005Metric,C1525
150K,BATR10,R_0402_1005Metric,C25755
510K,BATR9,R_0402_1005Metric,C11616
330R,BATR16,R_0402_1005Metric,C25104
2p_picoblade,SPKJ2,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C2905009
STM32F103C8T6,MOTU4,LQFP-48_7x7mm_P0.5mm,C8734
XB7608AJ,BATU4,XB7608AJ,C2681921
5.1K,"BATR12,BATR17,BATR11",R_0402_1005Metric,C25905
100K,"BATR15,BATR14,BATR20",R_0402_1005Metric,C25741
1uH_3.2A,BATL1,L_1008_2520Metric,C315711
1K,BATR7,R_0402_1005Metric,C11702
N_MOSFET,BATQ5,SOT-23,C8545
TPS2116DRL,BATU1,SOT-583-8,C3235557
10nF,BATC6,C_0402_1005Metric,C15195
LTR-381RGB,LIGU1,LTR-381RGB,C2944020
op_amp_mcp6001,LIGU5,SOT-23-5,C5145245
2.2uF,MOTC6,C_0402_1005Metric,C12530
LMA2718T421,LIGU4,SMD-4P-2.8x1.9mm,C5373232
0.2R,"MOTR5,MOTR6",R_1210_3225Metric,C52362
220pF,"SPKC10,SPKC4",C_0402_1005Metric,C1530
01x06_2.54mm_Male,"MOTJ5,SPKJ1,BATJ7,LIGJ1",01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,"SPKJ3,BATJ6,MOTJ7,LIGJ2",01x06_2.54mm_Female,C5142239
750K,SPKR2,R_0402_1005Metric,C43291
MAX98357AEWL+T,SPKU1,WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm,C2682619
