Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
1,"BATC9,MOTC1,BATC4,LIGC2,BATC13,MOTC2,BATC14,MOTC26,LIGC9,LIGC5,BATC8,MOTC8,BATC2,MOTC9,LIGC8,LIGC3,LIGC4,LIGC10,SPKC8,SPKC11,SPKC12,SPKC9",22,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733,4.7uF
2,LIGC6,1,Samsung,CL05A105KA5NQNC,C_0402_1005Metric,C52923,1uF
4,"LIGR12,LIGR9,BATR5,BATR6,BATR18,BATR19",6,,,R_0402_1005Metric,C25744,10K
6,LIGC7,1,,0402CG270J500NT,C_0402_1005Metric,C1557,27pF
7,MOTU1,1,,DRV8833PWPR,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506,DRV8833PWP
8,"BATJ1,BATJ3,MOTJ11,LIGJ3,SPKJ12,MOTJ1,SPKJ13,LIGJ5",8,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665,FFC_connector_16p_hinge_lock
9,SPKLS2,1,Fuet,FS1818MS0410-H5.9-R01,Speaker1.8x1.8,C48542868,SpeakerSmt
10,BATR13,1,,,R_0805_2012Metric,C2912728,0.01R
11,"LIGR2,MOTR13,LIGR3,BATR2,MOTR14,BATR3,LIGR4,BATR4,BATR1,MOTR12,MOTR11,LIGR1,SPKR7,SPKR4,SPKR9,SPKR6",16,,0402WGF750JTCE,R_0402_1005Metric,C25133,75R
12,"BATQ6,BATQ2",2,BORN,AO3401A,SOT-23,C306862,PMOS_2A
13,LIGR7,1,,0402WGF4701TCE,R_0402_1005Metric,C25900,4.7K
15,"LIGU3,BATU3,SPKU3",3,STMicroelectronics,STM32G030F6P6TR,TSSOP-20_4.4x6.5mm_P0.65mm,C529330,STM32G030F6P6
16,"MOTJ2,MOTJ8,MOTJ6,MOTJ9",4,,02x03_SMT_pin_header,PinHeader_2x03_P2.54mm_Vertical_SMD,C22438447,Conn_02x03_Odd_Even
17,"BATC10,BATC5,BATC11,MOTC15,MOTC10,MOTC12,MOTC4,MOTC14,MOTC13,MOTC11,MOTC16",11,Samsung,CL21A226MAYNNNE,C_0805_2012Metric,C602037,22uF_25V
18,"LIGR8,LIGR10",2,,,R_0402_1005Metric,C25768,22K
20,MOTC5,1,Murata Electronics,GRM155R71H104KE14D,C_0402_1005Metric,C77020,0.1uF_50V
21,BATD2,1,,KT-0603R,LED_SML-D12D1WT86,C2286,red_led
22,BATSW1,1,,SK12D07VG5,side_spst_switch,C431548,side_spst_switch
23,"MOTJ3,MOTJ10",2,DIBO,DB125-3.5-2P-GN-S,TerminalBlock_2P_3.5mm,C466970,TerminalBlock_2P_3.5mm
