"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
2;"J9,J5,J8,J2,J6,J7";"PinHeader_1x03_P2.54mm_Vertical";6;"Conn_01x03_Pin";
3;"J1,J3";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
4;"C3";"CP_Elec_6.3x5.3";1;"100uF_16V_SPE";
5;"C4";"C_0805_2012Metric";1;"22uF_25V";
6;"IGNORE1";"BoardText";1;"Motor v0.1";
7;"J4";"swd_header";1;"swd_4pin";
8;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
9;"R2,R3,R4,R1";"R_0402_1005Metric";4;"120R";
10;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
11;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
12;"C1";"C_0402_1005Metric";1;"0.1uF";
13;"IGNORE4";"BoardText";1;"DATA";
14;"IGNORE10";"BoardText";1;"Servo6";
15;"IGNORE5";"BoardText";1;"Servo1";
16;"IGNORE8";"BoardText";1;"Servo4";
17;"IGNORE6";"BoardText";1;"Servo2";
18;"IGNORE7";"BoardText";1;"Servo3";
19;"IGNORE9";"BoardText";1;"Servo5";
20;"IGNORE3";"BoardText";1;"5V";
21;"IGNORE2";"BoardText";1;"GND";
