Ref,Val,Package,PosX,PosY,Rot,Side
"IGNORE12","Servo8","BoardText",40.6250,-5.1579,-90.0,bottom
"IGNORE11","Servo7","BoardText",36.2250,-5.2750,-90.0,bottom
"J1","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-12.5000,180.0,bottom
"J3","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-12.5000,0.0,bottom
"IGNORE4","DATA","BoardText",45.5671,-9.0100,180.0,bottom
"IGNORE10","Servo6","BoardText",31.7000,-5.3330,-90.0,bottom
"IGNORE5","Servo1","BoardText",8.3500,-5.6670,90.0,bottom
"IGNORE8","Servo4","BoardText",22.7000,-5.4580,-90.0,bottom
"IGNORE6","Servo2","BoardText",13.8000,-5.6200,-90.0,bottom
"IGNORE7","Servo3","BoardText",18.2000,-5.5500,-90.0,bottom
"IGNORE9","Servo5","BoardText",27.1750,-5.4329,-90.0,bottom
"IGNORE3","5V","BoardText",44.6921,-6.8250,180.0,bottom
"IGNORE2","GND","BoardText",45.3000,-4.1250,180.0,bottom
