Ref,Val,Package,PosX,PosY,Rot,Side
C9,4.7uF,C_0402_1005Metric,31.1250,-18.2400,180.0,top
C12,22uF_25V,C_0805_2012Metric,45.5250,-22.2625,0.0,top
C5,22uF_25V,C_0805_2012Metric,34.8750,-22.2500,0.0,top
J9,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,33.0000,-8.3500,180.0,top
J10,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,37.5000,-8.3250,180.0,top
C13,22uF_25V,C_0805_2012Metric,47.6250,-22.2875,0.0,top
C3,4.7uF,C_0402_1005Metric,29.9500,-18.1500,180.0,top
R5,75R,R_0402_1005Metric,30.7150,-14.3250,90.0,top
J5,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,15.0000,-8.3500,180.0,top
C11,22uF_25V,C_0805_2012Metric,43.4000,-22.2625,0.0,top
J12,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,5.1450,-12.5000,180.0,top
R6,75R,R_0402_1005Metric,30.8150,-13.0750,90.0,top
U1,STM32G030K6T6,LQFP-32_7x7mm_P0.8mm,23.9500,-17.3750,180.0,top
C4,0.1uF,C_0402_1005Metric,29.9500,-16.1400,0.0,top
IGNORE1,Motor v0.5,BoardText,43.9000,-24.3250,0.0,top
C10,22uF_25V,C_0805_2012Metric,41.3000,-22.2625,0.0,top
C8,4.7uF,C_0402_1005Metric,36.1250,-17.3750,0.0,top
C6,22uF_25V,C_0805_2012Metric,37.0000,-22.2500,0.0,top
J13,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,49.4000,-12.5000,0.0,top
J8,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,28.5000,-8.3500,180.0,top
J4,swd_4pin,swd_header,5.8500,-23.6000,90.0,top
U2,ME6211C33M5G-N,SOT-23-5,33.6250,-17.7750,90.0,top
R8,75R,R_0402_1005Metric,17.3350,-17.9000,-90.0,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,10.5000,-8.3500,180.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,51.5000,-2.5500,0.0,top
C7,22uF_25V,C_0805_2012Metric,39.1500,-22.2625,0.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-22.5000,0.0,top
J6,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,19.5000,-8.3500,180.0,top
C14,22uF_25V,C_0805_2012Metric,49.7250,-22.2875,0.0,top
J11,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,42.0000,-8.3050,180.0,top
R7,75R,R_0402_1005Metric,17.2150,-16.2500,-90.0,top
J7,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,24.0000,-8.3500,180.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
IGNORE12,Servo8,BoardText,40.6250,-5.1579,-90.0,bottom
IGNORE11,Servo7,BoardText,36.2250,-5.2750,-90.0,bottom
J1,01x06_2.54mm_Male,01x06_2.54mm_Male,2.5000,-12.5000,180.0,bottom
J3,01x06_2.54mm_Female,01x06_2.54mm_Female,53.1000,-12.5000,0.0,bottom
IGNORE4,DATA,BoardText,45.5671,-9.0100,180.0,bottom
IGNORE10,Servo6,BoardText,31.7000,-5.3330,-90.0,bottom
IGNORE5,Servo1,BoardText,8.3500,-5.6670,90.0,bottom
IGNORE8,Servo4,BoardText,22.7000,-5.4580,-90.0,bottom
IGNORE6,Servo2,BoardText,13.8000,-5.6200,-90.0,bottom
IGNORE7,Servo3,BoardText,18.2000,-5.5500,-90.0,bottom
IGNORE9,Servo5,BoardText,27.1750,-5.4329,-90.0,bottom
IGNORE3,5V,BoardText,44.6921,-6.8250,180.0,bottom
IGNORE2,GND,BoardText,45.3000,-4.1250,180.0,bottom
