Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C3,C8",C_0402_1005Metric,C23733
22uF_25V,"C12,C5,C13,C11,C10,C6,C7,C14",C_0805_2012Metric,C602037
Conn_01x03_Pin,"J9,J10,J5,J8,J2,J6,J11,J7",PinHeader_1x03_P2.54mm_Vertical,C429954
75R,"R5,R6,R8,R7",R_0402_1005Metric,C25133
FFC_connector_16p_hinge_lock,"J12,J13",FFC_connector_16p_hinge_lock,C262665
STM32G030K6T6,U1,LQFP-32_7x7mm_P0.8mm,C529331
0.1uF,C4,C_0402_1005Metric,C1525
ME6211C33M5G-N,U2,SOT-23-5,C81233
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,J3,01x06_2.54mm_Female,C5142239
