Designator,Mid X,Mid Y,Layer,Rotation
C9,18.75mm,12.52mm,Top,270
U1,12.56mm,33.08mm,Top,270
J1,4.5mm,22.5mm,Top,90
J3,20.5mm,22.5mm,Top,270
R5,17.71mm,14.53mm,Top,0
C8,23.75mm,13.39mm,Top,270
J4,6.95mm,11.75mm,Top,0
U2,21.25mm,12.99mm,Top,0
R2,7.52mm,19.15mm,Top,90
H2,22.5mm,32.45mm,Top,270
U3,12.76mm,17.38mm,Top,90
R3,7.52mm,23.16mm,Top,90
C2,17.47mm,16.22mm,Top,90
R4,7.54mm,21.15mm,Top,90
R1,17.34mm,23.18mm,Top,90
R6,17.05mm,13.2mm,Top,0
C1,17.47mm,18.23mm,Top,270
H1,2.5mm,12.5mm,Top,270
C3,14.54mm,33.08mm,Top,270
