Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",18.7500,-22.4800,0.0,top
"U1","HDC1080","Texas_PWSON-N6",12.3000,-2.1500,0.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"IGNORE1","Temp v0.5","BoardText",19.1750,-24.1750,0.0,top
"R5","10K","R_0402_1005Metric",17.7150,-20.4750,-90.0,top
"C8","4.7uF","C_0402_1005Metric",23.7500,-21.6150,0.0,top
"J4","swd_4pin","swd_header",5.8600,-23.6000,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",21.2500,-22.0150,90.0,top
"R2","75R","R_0402_1005Metric",7.8000,-17.4500,-90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.7660,-17.6250,180.0,top
"R3","75R","R_0402_1005Metric",7.9750,-13.1400,180.0,top
"C2","4.7uF","C_0402_1005Metric",17.4785,-18.7850,180.0,top
"R4","75R","R_0402_1005Metric",7.8900,-16.0500,-90.0,top
"R1","75R","R_0402_1005Metric",17.4750,-14.6750,180.0,top
"R6","10K","R_0402_1005Metric",17.0500,-21.8000,-90.0,top
"C1","0.1uF","C_0402_1005Metric",17.4785,-16.7750,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"C3","4.7uF","C_0402_1005Metric",15.0250,-2.1350,0.0,top
"J5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
