Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C11,C12,C8,C13,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
22K,R6,R_0402_1005Metric,C25768
2.7nH,L4,C_0402_1005Metric,C880718
2.2nF,C4,C_0402_1005Metric,C1531
Crystal_16M_small,Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,C252270
4.7pF,C14,C_0402_1005Metric,C1569
1.5pF,C10,C_0402_1005Metric,C1552
3.9nH,L3,C_0402_1005Metric,C14033
ME6211C33M5G-N,"U2,U1",SOT-23-5,C81233
120R,"R2,R3,R4,R1",R_0402_1005Metric,C25079
NRF24L01,U4,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C8791
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
1pF,C7,C_0402_1005Metric,C1550
12pF,"C6,C5",C_0402_1005Metric,C1547
0.1uF,C1,C_0402_1005Metric,C1525
8.2nH,L1,C_0402_1005Metric,C16208
33nF,C3,C_0402_1005Metric,C1585
