Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",6.1750,-4.7500,0.0,top
"AE1","Antenna_MIFA_Cypress","Antenna_cypress_MIFA",8.9750,-2.2750,0.0,top
"C11","4.7uF","C_0402_1005Metric",1.0500,-4.6750,180.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"R6","22K","R_0402_1005Metric",8.0400,-7.4000,90.0,top
"L4","2.7nH","C_0402_1005Metric",12.2500,-5.6600,0.0,top
"C12","4.7uF","C_0402_1005Metric",18.4250,-21.6250,0.0,top
"C4","2.2nF","C_0402_1005Metric",11.7250,-4.1500,-90.0,top
"IGNORE1","Wireless v0.2","BoardText",18.6000,-24.6500,0.0,top
"Y2","Crystal_16M_small","Crystal_SMD_2016-4Pin_2.0x1.6mm",16.3100,-7.9250,-90.0,top
"C14","4.7pF","C_0402_1005Metric",13.4250,-5.6650,180.0,top
"C8","4.7uF","C_0402_1005Metric",23.7750,-21.8900,180.0,top
"C10","1.5pF","C_0402_1005Metric",8.6750,-4.7500,90.0,top
"J4","swd_4pin","swd_header",6.9500,-23.2500,90.0,top
"L3","3.9nH","C_0402_1005Metric",8.7250,-5.8500,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",21.0500,-21.4750,90.0,top
"C13","4.7uF","C_0402_1005Metric",8.5250,-8.9150,180.0,top
"R2","120R","R_0402_1005Metric",7.5215,-15.8500,180.0,top
"U1","ME6211C33M5G-N","SOT-23-5",3.5500,-4.0500,-90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5000,0.0,top
"U4","NRF24L01","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",11.7000,-9.6125,90.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",12.5250,-17.7000,180.0,top
"R3","120R","R_0402_1005Metric",7.5215,-11.8400,180.0,top
"C2","4.7uF","C_0402_1005Metric",17.1000,-18.5650,180.0,top
"R4","120R","R_0402_1005Metric",7.5465,-13.8500,180.0,top
"R1","120R","R_0402_1005Metric",17.0500,-14.4750,180.0,top
"C7","1pF","C_0402_1005Metric",9.6650,-3.6250,90.0,top
"C6","12pF","C_0402_1005Metric",15.9350,-9.9500,-90.0,top
"C1","0.1uF","C_0402_1005Metric",17.1000,-16.6050,0.0,top
"L1","8.2nH","C_0402_1005Metric",11.1000,-5.7000,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"C3","33nF","C_0402_1005Metric",8.5250,-10.8500,0.0,top
"C5","12pF","C_0402_1005Metric",16.3100,-5.8750,90.0,top
