Designator,Mid X,Mid Y,Layer,Rotation
C9,6.17mm,30.25mm,Top,270
AE1,8.97mm,32.73mm,Top,270
C11,1.05mm,30.33mm,Top,90
J1,4.5mm,22.5mm,Top,90
J3,20.5mm,22.5mm,Top,270
R6,8.04mm,27.6mm,Top,0
L4,12.25mm,29.34mm,Top,270
C12,18.42mm,13.38mm,Top,270
C4,11.72mm,30.85mm,Top,180
Y2,16.31mm,27.08mm,Top,270
C14,13.42mm,29.34mm,Top,90
C8,23.77mm,13.11mm,Top,90
C10,8.67mm,30.25mm,Top,0
J4,6.95mm,11.75mm,Top,0
L3,8.72mm,29.15mm,Top,0
U2,21.05mm,13.53mm,Top,0
C13,8.52mm,26.09mm,Top,90
R2,7.52mm,19.15mm,Top,90
U1,3.55mm,30.95mm,Top,180
H2,22.5mm,32.5mm,Top,270
U4,11.7mm,25.39mm,Top,0
U3,12.52mm,17.3mm,Top,90
R3,7.52mm,23.16mm,Top,90
C2,17.1mm,16.44mm,Top,90
R4,7.54mm,21.15mm,Top,90
R1,17.05mm,20.53mm,Top,90
C7,9.66mm,31.38mm,Top,0
C6,15.93mm,25.05mm,Top,180
C1,17.1mm,18.4mm,Top,270
L1,11.1mm,29.3mm,Top,270
H1,2.5mm,12.5mm,Top,270
C3,8.52mm,24.15mm,Top,270
C5,16.31mm,29.13mm,Top,0
