Designator,Mid X,Mid Y,Layer,Rotation
C9,15.44mm,-11.65mm,Top,0
C11,1.05mm,-4.67mm,Top,90
J3,20.5mm,-12.5mm,Top,270
R6,8.04mm,-7.4mm,Top,0
L4,12.25mm,-5.66mm,Top,270
C12,18.42mm,-21.62mm,Top,270
J5,4.3mm,-12.5mm,Top,90
C4,11.72mm,-4.15mm,Top,180
Y2,16.31mm,-7.92mm,Top,270
C14,13.42mm,-5.66mm,Top,90
C8,23.77mm,-21.89mm,Top,90
C10,8.67mm,-4.75mm,Top,0
L3,8.72mm,-5.85mm,Top,0
U2,21.05mm,-21.47mm,Top,90
C13,6.37mm,-4.1mm,Top,90
R2,7.5mm,-18.57mm,Top,270
U1,3.55mm,-4.05mm,Top,270
U4,11.7mm,-9.61mm,Top,0
U3,12.52mm,-17.7mm,Top,90
R3,7.47mm,-14.46mm,Top,90
C2,17.1mm,-18.56mm,Top,90
R4,7.57mm,-16.58mm,Top,270
R1,17.05mm,-14.47mm,Top,90
C7,9.66mm,-3.62mm,Top,0
C6,15.93mm,-9.95mm,Top,180
C1,17.1mm,-16.6mm,Top,270
L1,11.1mm,-5.7mm,Top,270
C3,8.52mm,-10.85mm,Top,270
C5,16.31mm,-5.87mm,Top,0
C15,8.27mm,-8.92mm,Top,90
J1,8.1mm,-12.5mm,Bottom,90
J2,18.4mm,-12.5mm,Bottom,270
