Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",14.0200,-3.6750,0.0,top
"U1","Joystick","Joystick",27.0000,-10.5000,90.0,top
"H3","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-2.5000,0.0,top
"J5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",49.5000,-12.5000,0.0,top
"IGNORE1","Joystick v0.5","BoardText",45.0200,-24.3200,0.0,top
"C8","4.7uF","C_0402_1005Metric",9.0200,-4.5400,180.0,top
"J4","swd_4pin","swd_header",5.8500,-23.6000,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",11.5200,-4.1400,-90.0,top
"J2","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"R2","75R","R_0402_1005Metric",10.8650,-18.6450,0.0,top
"H4","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",51.5000,-22.5000,0.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",51.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",11.1375,-13.4500,-90.0,top
"C2","4.7uF","C_0402_1005Metric",12.8950,-8.7400,-90.0,top
"R6","10K","R_0402_1005Metric",14.8300,-8.4600,0.0,top
"R4","75R","R_0402_1005Metric",9.8100,-18.6550,0.0,top
"R1","75R","R_0402_1005Metric",8.6500,-8.8500,-90.0,top
"C1","0.1uF","C_0402_1005Metric",10.8850,-8.7400,90.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
"R3","75R","R_0402_1005Metric",8.6300,-18.6900,0.0,top
