Ref,Val,Package,PosX,PosY,Rot,Side
"C9","4.7uF","C_0402_1005Metric",17.1000,-22.4650,0.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"J3","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",20.5000,-12.5000,0.0,top
"C4","47uF_16V","C_1210_3225Metric",4.2200,-3.1000,0.0,top
"IGNORE1","LED v0.1","BoardText",19.8500,-23.9250,0.0,top
"R5","1K","R_0402_1005Metric",14.9900,-9.6500,180.0,top
"R7","1K","R_0402_1005Metric",16.1500,-9.6200,0.0,top
"J6","TerminalBlock_3P_3.5mm","TerminalBlock_3P_3.5mm",12.7052,-4.1599,0.0,top
"C8","4.7uF","C_0402_1005Metric",22.1000,-21.6000,0.0,top
"J4","swd_4pin","swd_header",6.9500,-23.2500,90.0,top
"U2","ME6211C33M5G-N","SOT-23-5",19.6000,-22.0000,90.0,top
"Q3","N_MOSFET","SOT-23",12.2500,-10.4300,0.0,top
"R2","100R","R_0402_1005Metric",8.0000,-15.2750,-90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",22.5000,-2.5500,0.0,top
"U3","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",13.0375,-16.5000,180.0,top
"R3","100R","R_0402_1005Metric",8.0000,-13.1750,-90.0,top
"C2","4.7uF","C_0402_1005Metric",17.7500,-17.6600,180.0,top
"R4","100R","R_0402_1005Metric",7.9900,-14.2250,-90.0,top
"R1","100R","R_0402_1005Metric",17.5250,-11.8250,180.0,top
"C1","0.1uF","C_0402_1005Metric",17.7500,-15.6500,0.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-22.5000,0.0,top
