Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
1,"C9,C8,C2",3,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733,4.7uF
2,"J7,J5",2,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665,FFC_connector_16p_hinge_lock
4,C4,1,Murata Electronics,GRM32ER61C476KE15L,C_1210_3225Metric,C77101,47uF_16V
6,"R5,R7",2,,,R_0402_1005Metric,C11702,1K
9,U2,1,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233,ME6211C33M5G-N
10,Q3,1,Changjiang Electronics Tech,2N7002,SOT-23,C8545,N_MOSFET
11,"R2,R3,R4,R1",4,,0402WGF750JTCE,R_0402_1005Metric,C25133,75R
13,U3,1,STMicroelectronics,STM32G030F6P6TR,TSSOP-20_4.4x6.5mm_P0.65mm,C529330,STM32G030F6P6
15,J2,1,,C881704,TerminalBlock_03_P3.81mm_Horizontal,C881704,TerminalBlock_3P_3.8_black
16,C1,1,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525,0.1uF
17,J1,1,,X6511WRS-06H-C60D48,01x06_2.54mm_Male,C5242199,01x06_2.54mm_Male
18,J3,1,,X6511FRS-06-C85D30,01x06_2.54mm_Female,C5142239,01x06_2.54mm_Female
