Designator,Mid X,Mid Y,Layer,Rotation
C1,17.75mm,19.35mm,Top,270
C2,17.75mm,17.34mm,Top,90
C4,4.22mm,31.9mm,Top,270
C8,22.1mm,13.4mm,Top,270
C9,17.1mm,12.535mm,Top,270
J1,4.5mm,22.5mm,Top,90
J3,20.5mm,22.5mm,Top,270
J4,6.95mm,11.75mm,Top,0
J6,12.7052mm,30.8401mm,Top,270
Q3,12.25mm,24.57mm,Top,270
R1,17.525mm,23.175mm,Top,90
R2,8.0mm,19.725mm,Top,180
R3,8.0mm,21.825mm,Top,180
R4,7.99mm,20.775mm,Top,180
R5,14.99mm,25.35mm,Top,90
R7,16.15mm,25.38mm,Top,270
U2,19.6mm,13.0mm,Top,0
U3,13.0375mm,18.5mm,Top,90
