"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"C9,C8,C2";"C_0402_1005Metric";3;"4.7uF";
2;"J7,J5";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
3;"IGNORE4";"BoardText";1;"5V";
4;"C4";"C_1210_3225Metric";1;"47uF_16V";
5;"IGNORE1";"BoardText";1;"LED v0.5";
6;"R5,R7";"R_0402_1005Metric";2;"1K";
7;"J4";"swd_header";1;"swd_4pin";
8;"IGNORE2";"BoardText";1;"GND";
9;"U2";"SOT-23-5";1;"ME6211C33M5G-N";
10;"Q3";"SOT-23";1;"N_MOSFET";
11;"R2,R3,R4,R1";"R_0402_1005Metric";4;"75R";
12;"H2,H1";"MountingHole_2.7mm_M2.5_ISO7380";2;"M2.5MountingHole";
13;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
14;"IGNORE3";"BoardText";1;"DATA";
15;"J2";"TerminalBlock_03_P3.81mm_Horizontal";1;"TerminalBlock_3P_3.8_black";
16;"C1";"C_0402_1005Metric";1;"0.1uF";
17;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
18;"J3";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
