Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
FFC_connector_16p_hinge_lock,"J7,J5",FFC_connector_16p_hinge_lock,C262665
47uF_16V,C4,C_1210_3225Metric,C77101
1K,"R5,R7",R_0402_1005Metric,C11702
ME6211C33M5G-N,U2,SOT-23-5,C81233
N_MOSFET,Q3,SOT-23,C8545
75R,"R2,R3,R4,R1",R_0402_1005Metric,C25133
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
TerminalBlock_3P_3.8_black,J2,TerminalBlock_03_P3.81mm_Horizontal,C881704
0.1uF,C1,C_0402_1005Metric,C1525
01x06_2.54mm_Male,J1,01x06_2.54mm_Male,C5242199
01x06_2.54mm_Female,J3,01x06_2.54mm_Female,C5142239
