Ref,Val,Package,PosX,PosY,Rot,Side
"C11","22uF_10V","C_0603_1608Metric",5.6400,-36.3500,180.0,top
"D22","xl_ws2812b_small","xl_ws2812b_small",34.8000,-19.7000,180.0,top
"D51","xl_ws2812b_small","xl_ws2812b_small",19.5000,-40.1000,180.0,top
"D1","xl_ws2812b_small","xl_ws2812b_small",9.3000,-9.5000,180.0,top
"D25","xl_ws2812b_small","xl_ws2812b_small",9.3000,-24.8000,180.0,top
"D12","xl_ws2812b_small","xl_ws2812b_small",24.6000,-14.6000,180.0,top
"R2","1K","R_0402_1005Metric",11.3400,-5.4650,180.0,top
"J1","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",4.5000,-12.5000,180.0,top
"C16","22uF_10V","C_0603_1608Metric",48.6600,-42.9300,180.0,top
"C12","22uF_10V","C_0603_1608Metric",45.2300,-6.4200,-90.0,top
"D63","xl_ws2812b_small","xl_ws2812b_small",39.9000,-45.2000,180.0,top
"D54","xl_ws2812b_small","xl_ws2812b_small",34.8000,-40.1000,180.0,top
"C1","4.7uF","C_0402_1005Metric",40.9100,-3.6400,180.0,top
"D59","xl_ws2812b_small","xl_ws2812b_small",19.5000,-45.2000,180.0,top
"D32","xl_ws2812b_small","xl_ws2812b_small",45.0000,-24.8000,180.0,top
"D8","xl_ws2812b_small","xl_ws2812b_small",45.0000,-9.5000,180.0,top
"D21","xl_ws2812b_small","xl_ws2812b_small",29.7000,-19.7000,180.0,top
"D64","xl_ws2812b_small","xl_ws2812b_small",45.0000,-45.2000,180.0,top
"D43","xl_ws2812b_small","xl_ws2812b_small",19.5000,-35.0000,180.0,top
"D57","xl_ws2812b_small","xl_ws2812b_small",9.3000,-45.2000,180.0,top
"J2","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",50.5000,-12.5000,0.0,top
"D40","xl_ws2812b_small","xl_ws2812b_small",45.0000,-29.9000,180.0,top
"D49","xl_ws2812b_small","xl_ws2812b_small",9.3000,-40.1000,180.0,top
"D11","xl_ws2812b_small","xl_ws2812b_small",19.5000,-14.6000,180.0,top
"C6","22uF_10V","C_0603_1608Metric",5.6200,-31.7700,180.0,top
"R4","1K","R_0402_1005Metric",12.5100,-5.4100,0.0,top
"D6","xl_ws2812b_small","xl_ws2812b_small",34.8000,-9.5000,180.0,top
"D3","xl_ws2812b_small","xl_ws2812b_small",19.5000,-9.5000,180.0,top
"D39","xl_ws2812b_small","xl_ws2812b_small",39.9000,-29.9000,180.0,top
"R3","75R","R_0402_1005Metric",19.1700,-1.5400,-90.0,top
"D29","xl_ws2812b_small","xl_ws2812b_small",29.7000,-24.8000,180.0,top
"C5","22uF_10V","C_0603_1608Metric",8.9175,-6.3900,-90.0,top
"IGNORE1","LedMatrix v0.1","BoardText",45.1921,-52.9900,180.0,top
"C9","22uF_10V","C_0603_1608Metric",48.6800,-29.5600,180.0,top
"D36","xl_ws2812b_small","xl_ws2812b_small",24.6000,-29.9000,180.0,top
"C2","4.7uF","C_0402_1005Metric",35.6500,-3.6700,180.0,top
"C15","22uF_10V","C_0603_1608Metric",9.4400,-48.3300,-90.0,top
"D14","xl_ws2812b_small","xl_ws2812b_small",34.8000,-14.6000,180.0,top
"D5","xl_ws2812b_small","xl_ws2812b_small",29.7000,-9.5000,180.0,top
"D34","xl_ws2812b_small","xl_ws2812b_small",14.4000,-29.9000,180.0,top
"D30","xl_ws2812b_small","xl_ws2812b_small",34.8000,-24.8000,180.0,top
"D24","xl_ws2812b_small","xl_ws2812b_small",45.0000,-19.7000,180.0,top
"C4","0.1uF","C_0402_1005Metric",30.7500,-4.0000,0.0,top
"D4","xl_ws2812b_small","xl_ws2812b_small",24.6000,-9.5000,180.0,top
"D17","xl_ws2812b_small","xl_ws2812b_small",9.3000,-19.7000,180.0,top
"C13","22uF_10V","C_0603_1608Metric",48.6200,-24.5500,180.0,top
"D47","xl_ws2812b_small","xl_ws2812b_small",39.9000,-35.0000,180.0,top
"C8","22uF_10V","C_0603_1608Metric",48.7400,-34.2800,180.0,top
"U2","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",24.7900,-3.9425,180.0,top
"D37","xl_ws2812b_small","xl_ws2812b_small",29.7000,-29.9000,180.0,top
"D19","xl_ws2812b_small","xl_ws2812b_small",19.5000,-19.7000,180.0,top
"D15","xl_ws2812b_small","xl_ws2812b_small",39.9000,-14.6000,180.0,top
"C10","22uF_10V","C_0603_1608Metric",5.7600,-21.2400,180.0,top
"U1","ME6211C33M5G-N","SOT-23-5",38.2600,-3.2900,90.0,top
"D20","xl_ws2812b_small","xl_ws2812b_small",24.6000,-19.7000,180.0,top
"Q1","N_MOSFET","SOT-23",13.4800,-2.5700,90.0,top
"H2","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",52.5000,-2.5500,0.0,top
"D41","xl_ws2812b_small","xl_ws2812b_small",9.3000,-35.0000,180.0,top
"D2","xl_ws2812b_small","xl_ws2812b_small",14.4000,-9.5000,180.0,top
"D18","xl_ws2812b_small","xl_ws2812b_small",14.4000,-19.7000,180.0,top
"D31","xl_ws2812b_small","xl_ws2812b_small",39.9000,-24.8000,180.0,top
"D38","xl_ws2812b_small","xl_ws2812b_small",34.8000,-29.9000,180.0,top
"C7","22uF_10V","C_0603_1608Metric",48.6200,-21.0300,180.0,top
"D62","xl_ws2812b_small","xl_ws2812b_small",34.8000,-45.2000,180.0,top
"D44","xl_ws2812b_small","xl_ws2812b_small",24.6000,-35.0000,180.0,top
"D13","xl_ws2812b_small","xl_ws2812b_small",29.7000,-14.6000,180.0,top
"C3","4.7uF","C_0402_1005Metric",29.5600,-4.7650,180.0,top
"D35","xl_ws2812b_small","xl_ws2812b_small",19.5000,-29.9000,180.0,top
"C14","22uF_10V","C_0603_1608Metric",5.6300,-42.1200,180.0,top
"D26","xl_ws2812b_small","xl_ws2812b_small",14.4000,-24.8000,180.0,top
"J3","swd_4pin","swd_header",7.2100,-53.3700,90.0,top
"D50","xl_ws2812b_small","xl_ws2812b_small",14.4000,-40.1000,180.0,top
"D52","xl_ws2812b_small","xl_ws2812b_small",24.6000,-40.1000,180.0,top
"D53","xl_ws2812b_small","xl_ws2812b_small",29.7000,-40.1000,180.0,top
"D9","xl_ws2812b_small","xl_ws2812b_small",9.3000,-14.6000,180.0,top
"D55","xl_ws2812b_small","xl_ws2812b_small",39.9000,-40.1000,180.0,top
"R1","75R","R_0402_1005Metric",30.2350,-2.1600,90.0,top
"D48","xl_ws2812b_small","xl_ws2812b_small",45.0000,-35.0000,180.0,top
"D61","xl_ws2812b_small","xl_ws2812b_small",29.7000,-45.2000,180.0,top
"D46","xl_ws2812b_small","xl_ws2812b_small",34.8000,-35.0000,180.0,top
"D45","xl_ws2812b_small","xl_ws2812b_small",29.7000,-35.0000,180.0,top
"D10","xl_ws2812b_small","xl_ws2812b_small",14.4000,-14.6000,180.0,top
"D23","xl_ws2812b_small","xl_ws2812b_small",39.9000,-19.7000,180.0,top
"D58","xl_ws2812b_small","xl_ws2812b_small",14.4000,-45.2000,180.0,top
"D27","xl_ws2812b_small","xl_ws2812b_small",19.5000,-24.8000,180.0,top
"H1","M2.5MountingHole","MountingHole_2.7mm_M2.5_ISO7380",2.5000,-52.5000,0.0,top
"D56","xl_ws2812b_small","xl_ws2812b_small",45.0000,-40.1000,180.0,top
"D42","xl_ws2812b_small","xl_ws2812b_small",14.4000,-35.0000,180.0,top
"D16","xl_ws2812b_small","xl_ws2812b_small",45.0000,-14.6000,180.0,top
"D7","xl_ws2812b_small","xl_ws2812b_small",39.9000,-9.5000,180.0,top
"D28","xl_ws2812b_small","xl_ws2812b_small",24.6000,-24.8000,180.0,top
