Comment,Designator,Footprint,LCSC Part Number
22uF_10V,"C11,C16,C12,C6,C5,C9,C15,C13,C8,C10,C7,C14",C_0603_1608Metric,C86295
xl_ws2812b_small,"D22,D51,D1,D25,D12,D63,D54,D59,D32,D8,D21,D64,D43,D57,D40,D49,D11,D6,D3,D39,D29,D36,D14,D5,D34,D30,D24,D4,D17,D47,D37,D19,D15,D20,D41,D2,D18,D31,D38,D62,D44,D13,D35,D26,D50,D52,D53,D9,D55,D48,D61,D46,D45,D10,D23,D58,D27,D56,D42,D16,D7,D28,D33,D60",xl_ws2812b_small,C2890364
1K,"R2,R4",R_0402_1005Metric,C11702
FFC_connector_16p_hinge_lock,"J1,J2",FFC_connector_16p_hinge_lock,C262665
4.7uF,"C1,C2,C3",C_0402_1005Metric,C23733
75R,"R3,R1,R6,R5",R_0402_1005Metric,C25133
0.1uF,C4,C_0402_1005Metric,C1525
STM32G030F6P6,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
ME6211C33M5G-N,U1,SOT-23-5,C81233
N_MOSFET,Q1,SOT-23,C8545
