Designator,Mid X,Mid Y,Layer,Rotation
D52,22.8mm,-40.8mm,Top,0
D34,10.8mm,-28.8mm,Top,0
D48,46.8mm,-34.8mm,Top,270
D12,22.8mm,-10.8mm,Top,270
D61,28.8mm,-46.8mm,Top,0
D2,10.8mm,-4.8mm,Top,0
D64,46.8mm,-46.8mm,Top,270
D53,28.8mm,-40.8mm,Top,270
D55,40.8mm,-40.8mm,Top,270
D56,46.8mm,-40.8mm,Top,0
D37,28.8mm,-28.8mm,Top,270
D47,40.8mm,-34.8mm,Top,0
D59,16.8mm,-46.8mm,Top,0
D39,40.8mm,-28.8mm,Top,270
D42,10.8mm,-34.8mm,Top,270
D11,16.8mm,-10.8mm,Top,0
D51,16.8mm,-40.8mm,Top,270
D3,16.8mm,-4.8mm,Top,270
D54,34.8mm,-40.8mm,Top,0
D18,10.8mm,-16.8mm,Top,0
D16,46.8mm,-10.8mm,Top,270
D15,40.8mm,-10.8mm,Top,0
D63,40.8mm,-46.8mm,Top,0
D29,28.8mm,-22.8mm,Top,0
D50,10.8mm,-40.8mm,Top,0
D17,4.8mm,-16.8mm,Top,270
D58,10.8mm,-46.8mm,Top,270
D38,34.8mm,-28.8mm,Top,0
D28,22.8mm,-22.8mm,Top,270
D4,22.8mm,-4.8mm,Top,0
D36,22.8mm,-28.8mm,Top,0
D43,16.8mm,-34.8mm,Top,0
D21,28.8mm,-16.8mm,Top,270
D14,34.8mm,-10.8mm,Top,270
D26,10.8mm,-22.8mm,Top,270
D24,46.8mm,-16.8mm,Top,0
D8,46.8mm,-4.8mm,Top,0
D22,34.8mm,-16.8mm,Top,0
D40,46.8mm,-28.8mm,Top,0
D32,46.8mm,-22.8mm,Top,270
D6,34.8mm,-4.8mm,Top,0
D62,34.8mm,-46.8mm,Top,270
D10,10.8mm,-10.8mm,Top,270
D49,4.8mm,-40.8mm,Top,270
D44,22.8mm,-34.8mm,Top,270
D41,4.8mm,-34.8mm,Top,0
D35,16.8mm,-28.8mm,Top,270
D31,40.8mm,-22.8mm,Top,0
D33,4.8mm,-28.8mm,Top,270
D20,22.8mm,-16.8mm,Top,0
D30,34.8mm,-22.8mm,Top,270
D46,34.8mm,-34.8mm,Top,270
D9,4.8mm,-10.8mm,Top,0
D27,16.8mm,-22.8mm,Top,0
D13,28.8mm,-10.8mm,Top,0
D60,22.8mm,-46.8mm,Top,270
D23,40.8mm,-16.8mm,Top,270
D1,4.8mm,-4.8mm,Top,270
D25,4.8mm,-22.8mm,Top,0
D19,16.8mm,-16.8mm,Top,270
D57,4.8mm,-46.8mm,Top,0
D7,40.8mm,-4.8mm,Top,270
D5,28.8mm,-4.8mm,Top,270
D45,28.8mm,-34.8mm,Top,0
Q1,22.0mm,-40.27mm,Bottom,0
U2,26.43mm,-47.62mm,Bottom,270
J4,49.0mm,-41.5mm,Bottom,90
C8,6.13mm,-3.12mm,Bottom,0
C3,34.55mm,-46.05mm,Bottom,270
C2,31.13mm,-46.09mm,Bottom,270
C1,39.72mm,-46.12mm,Bottom,270
C6,44.6mm,-23.46mm,Bottom,90
C11,41.85mm,-21.35mm,Bottom,270
J5,4.52mm,-41.5mm,Bottom,270
R1,31.06mm,-50.22mm,Bottom,270
C15,42.05mm,-46.43mm,Bottom,90
R4,21.31mm,-36.6mm,Bottom,0
R3,20.89mm,-50.84mm,Bottom,180
C16,11.1mm,-29.3mm,Bottom,90
J1,8.1mm,-12.5mm,Bottom,90
C7,40.75mm,-35.42mm,Bottom,90
C4,31.13mm,-48.03mm,Bottom,90
U1,37.1mm,-46.57mm,Bottom,90
C13,40.85mm,-41.18mm,Bottom,90
R5,20.93mm,-49.72mm,Bottom,180
J2,47.4mm,-12.5mm,Bottom,270
C12,42.47mm,-12.55mm,Bottom,180
R6,20.96mm,-48.62mm,Bottom,180
R2,21.32mm,-37.85mm,Bottom,180
