Designator,Mid X,Mid Y,Layer,Rotation
D52,22.8mm,-40.8mm,Top,0
D34,10.8mm,-28.8mm,Top,0
D48,46.8mm,-34.8mm,Top,270
D12,22.8mm,-10.8mm,Top,270
D61,28.8mm,-46.8mm,Top,0
D2,10.8mm,-4.8mm,Top,0
D64,46.8mm,-46.8mm,Top,270
D53,28.8mm,-40.8mm,Top,270
D55,40.8mm,-40.8mm,Top,270
D56,46.8mm,-40.8mm,Top,0
D37,28.8mm,-28.8mm,Top,270
D47,40.8mm,-34.8mm,Top,0
D59,16.8mm,-46.8mm,Top,0
D39,40.8mm,-28.8mm,Top,270
D42,10.8mm,-34.8mm,Top,270
D11,16.8mm,-10.8mm,Top,0
D51,16.8mm,-40.8mm,Top,270
D3,16.8mm,-4.8mm,Top,270
D54,34.8mm,-40.8mm,Top,0
D18,10.8mm,-16.8mm,Top,0
D16,46.8mm,-10.8mm,Top,270
D15,40.8mm,-10.8mm,Top,0
D63,40.8mm,-46.8mm,Top,0
D29,28.8mm,-22.8mm,Top,0
D50,10.8mm,-40.8mm,Top,0
D17,4.8mm,-16.8mm,Top,270
D58,10.8mm,-46.8mm,Top,270
D38,34.8mm,-28.8mm,Top,0
D28,22.8mm,-22.8mm,Top,270
D4,22.8mm,-4.8mm,Top,0
D36,22.8mm,-28.8mm,Top,0
D43,16.8mm,-34.8mm,Top,0
D21,28.8mm,-16.8mm,Top,270
D14,34.8mm,-10.8mm,Top,270
D26,10.8mm,-22.8mm,Top,270
D24,46.8mm,-16.8mm,Top,0
D8,46.8mm,-4.8mm,Top,0
D22,34.8mm,-16.8mm,Top,0
D40,46.8mm,-28.8mm,Top,0
D32,46.8mm,-22.8mm,Top,270
D6,34.8mm,-4.8mm,Top,0
D62,34.8mm,-46.8mm,Top,270
D10,10.8mm,-10.8mm,Top,270
D49,4.8mm,-40.8mm,Top,270
D44,22.8mm,-34.8mm,Top,270
D41,4.8mm,-34.8mm,Top,0
D35,16.8mm,-28.8mm,Top,270
D31,40.8mm,-22.8mm,Top,0
D33,4.8mm,-28.8mm,Top,270
D20,22.8mm,-16.8mm,Top,0
D30,34.8mm,-22.8mm,Top,270
D46,34.8mm,-34.8mm,Top,270
D9,4.8mm,-10.8mm,Top,0
D27,16.8mm,-22.8mm,Top,0
D13,28.8mm,-10.8mm,Top,0
D60,22.8mm,-46.8mm,Top,270
D23,40.8mm,-16.8mm,Top,270
D1,4.8mm,-4.8mm,Top,270
D25,4.8mm,-22.8mm,Top,0
D19,16.8mm,-16.8mm,Top,270
D57,4.8mm,-46.8mm,Top,0
D7,40.8mm,-4.8mm,Top,270
D5,28.8mm,-4.8mm,Top,270
D45,28.8mm,-34.8mm,Top,0
