Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","N_MOSFET","SOT-23",21.6500,-39.9250,-90.0,bottom
"U2","STM32G030F6P6","TSSOP-20_4.4x6.5mm_P0.65mm",26.4375,-47.6250,180.0,bottom
"J4","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",43.6500,-41.1500,0.0,bottom
"C8","22uF_10V","C_0603_1608Metric",20.3400,-7.1000,-90.0,bottom
"C3","4.7uF","C_0402_1005Metric",34.2000,-45.7000,180.0,bottom
"C2","4.7uF","C_0402_1005Metric",30.7875,-45.7450,180.0,bottom
"C1","4.7uF","C_0402_1005Metric",39.3750,-45.7750,180.0,bottom
"C6","22uF_10V","C_0603_1608Metric",44.2500,-23.1125,0.0,bottom
"C11","22uF_10V","C_0603_1608Metric",26.8600,-20.6125,0.0,bottom
"J5","FFC_connector_16p_hinge_lock","FFC_connector_16p_hinge_lock",9.1700,-41.1500,180.0,bottom
"R1","75R","R_0402_1005Metric",31.0625,-50.2200,180.0,bottom
"C15","22uF_10V","C_0603_1608Metric",41.7000,-46.0875,0.0,bottom
"R4","1K","R_0402_1005Metric",20.9650,-36.2500,-90.0,bottom
"R3","75R","R_0402_1005Metric",20.8975,-50.8450,90.0,bottom
"C16","22uF_10V","C_0603_1608Metric",26.9600,-26.9600,180.0,bottom
"J1","01x06_2.54mm_Male","01x06_2.54mm_Male",8.1000,-12.5000,180.0,bottom
"C7","22uF_10V","C_0603_1608Metric",26.9600,-33.5800,0.0,bottom
"C4","0.1uF","C_0402_1005Metric",30.7875,-47.6850,0.0,bottom
"U1","ME6211C33M5G-N","SOT-23-5",36.7500,-46.2250,-90.0,bottom
"C13","22uF_10V","C_0603_1608Metric",27.0400,-40.2275,180.0,bottom
"R5","75R","R_0402_1005Metric",20.5875,-49.3700,90.0,bottom
"J2","01x06_2.54mm_Female","01x06_2.54mm_Female",47.4000,-12.5000,0.0,bottom
"C12","22uF_10V","C_0603_1608Metric",42.1250,-12.2000,90.0,bottom
"R6","75R","R_0402_1005Metric",20.6125,-48.2700,90.0,bottom
"R2","1K","R_0402_1005Metric",20.9750,-37.5000,90.0,bottom
