Ref,Val,Package,PosX,PosY,Rot,Side
IGNORE1,LedMatrix v0.5,BoardText,43.3329,-53.3500,0.0,top
D52,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-40.8000,90.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-28.8000,90.0,top
D48,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-34.8000,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-10.8000,0.0,top
D61,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-46.8000,90.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-4.8000,90.0,top
D64,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-46.8000,0.0,top
D53,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-40.8000,0.0,top
D55,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-40.8000,0.0,top
D56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-40.8000,90.0,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-28.8000,0.0,top
D47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-34.8000,90.0,top
D59,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-46.8000,90.0,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-28.8000,0.0,top
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-34.8000,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-10.8000,90.0,top
D51,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-40.8000,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-4.8000,0.0,top
D54,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-40.8000,90.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-16.8000,90.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-10.8000,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-10.8000,90.0,top
D63,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-46.8000,90.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-22.8000,90.0,top
D50,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-40.8000,90.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-16.8000,0.0,top
D58,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-46.8000,0.0,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-28.8000,90.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-22.8000,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-4.8000,90.0,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-28.8000,90.0,top
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-34.8000,90.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-16.8000,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-10.8000,0.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-22.8000,0.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,51.5000,-2.5500,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-16.8000,90.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-4.8000,90.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-16.8000,90.0,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-28.8000,90.0,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.8000,-22.8000,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-4.8000,90.0,top
D62,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-46.8000,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10.8000,-10.8000,0.0,top
D49,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-40.8000,0.0,top
J3,swd_4pin,swd_header,5.8500,-52.6000,90.0,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-34.8000,0.0,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-34.8000,90.0,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-28.8000,0.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-22.8000,90.0,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-28.8000,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-16.8000,90.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-22.8000,0.0,top
D46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8000,-34.8000,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-10.8000,90.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-51.5000,0.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-22.8000,90.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-10.8000,90.0,top
D60,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.8000,-46.8000,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-16.8000,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-4.8000,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-22.8000,90.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,16.8000,-16.8000,0.0,top
D57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.8000,-46.8000,90.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.8000,-4.8000,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-4.8000,0.0,top
D45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.8000,-34.8000,90.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
Q1,N_MOSFET,SOT-23,22.0000,-40.2750,-90.0,bottom
U2,STM32G030F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,26.4375,-47.6250,180.0,bottom
J4,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,49.0000,-41.5000,0.0,bottom
C8,22uF_10V,C_0603_1608Metric,6.1375,-3.1250,-90.0,bottom
C3,4.7uF,C_0402_1005Metric,34.5500,-46.0500,180.0,bottom
C2,4.7uF,C_0402_1005Metric,31.1375,-46.0950,180.0,bottom
C1,4.7uF,C_0402_1005Metric,39.7250,-46.1250,180.0,bottom
C6,22uF_10V,C_0603_1608Metric,44.6000,-23.4625,0.0,bottom
C11,22uF_10V,C_0603_1608Metric,41.8500,-21.3500,180.0,bottom
J5,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,4.5200,-41.5000,180.0,bottom
R1,75R,R_0402_1005Metric,31.0625,-50.2200,180.0,bottom
C15,22uF_10V,C_0603_1608Metric,42.0500,-46.4375,0.0,bottom
R4,1K,R_0402_1005Metric,21.3150,-36.6000,-90.0,bottom
R3,75R,R_0402_1005Metric,20.8975,-50.8450,90.0,bottom
C16,22uF_10V,C_0603_1608Metric,11.1000,-29.3000,0.0,bottom
J1,01x06_2.54mm_Male,01x06_2.54mm_Male,8.5000,-12.5000,180.0,bottom
C7,22uF_10V,C_0603_1608Metric,40.7500,-35.4250,0.0,bottom
C4,0.1uF,C_0402_1005Metric,31.1375,-48.0350,0.0,bottom
U1,ME6211C33M5G-N,SOT-23-5,37.1000,-46.5750,-90.0,bottom
C13,22uF_10V,C_0603_1608Metric,40.8500,-41.1875,0.0,bottom
R5,75R,R_0402_1005Metric,20.9375,-49.7200,90.0,bottom
J2,01x06_2.54mm_Female,01x06_2.54mm_Female,47.1000,-12.5000,0.0,bottom
C12,22uF_10V,C_0603_1608Metric,42.4750,-12.5500,90.0,bottom
R6,75R,R_0402_1005Metric,20.9625,-48.6200,90.0,bottom
R2,1K,R_0402_1005Metric,21.3250,-37.8500,90.0,bottom
