"Id";"Designator";"Footprint";"Quantity";"Designation";
1;"IGNORE1";"BoardText";1;"LedMatrix v0.6";
2;"D34,D48,D12,D2,D37,D47,D39,D42,D11,D3,D18,D16,D15,D29,D17,D38,D28,D4,D36,D43,D21,D14,D26,D24,D8,D22,D40,D32,D6,D10,D49,D44,D41,D35,D31,D33,D20,D30,D46,D9,D27,D13,D23,D1,D25,D19,D7,D5,D45";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";49;"WS2812B";
3;"H4,H2,H3,H1";"MountingHole_2.7mm_M2.5_ISO7380";4;"M2.5MountingHole";
4;"J3";"swd_header";1;"swd_4pin";
5;"Q1";"SOT-23";1;"N_MOSFET";
6;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6P6";
7;"J4,J5";"FFC_connector_16p_hinge_lock";2;"FFC_connector_16p_hinge_lock";
8;"C8,C6,C11,C15,C16,C7,C13,C12";"C_0603_1608Metric";8;"22uF_10V";
9;"C3,C2,C1";"C_0402_1005Metric";3;"4.7uF";
10;"R1,R3,R5,R6";"R_0402_1005Metric";4;"75R";
11;"R4,R2";"R_0402_1005Metric";2;"1K";
12;"J1";"01x06_2.54mm_Male";1;"01x06_2.54mm_Male";
13;"C4";"C_0402_1005Metric";1;"0.1uF";
14;"U1";"SOT-23-5";1;"ME6211C33M5G-N";
15;"J2";"01x06_2.54mm_Female";1;"01x06_2.54mm_Female";
