Designator,Mid X,Mid Y,Layer,Rotation
C9,16.72mm,12.22mm,Top,270
U1,30.14mm,23.11mm,Top,90
J1,4.5mm,22.5mm,Top,90
J3,45.5mm,22.5mm,Top,270
C5,25.52mm,24.3mm,Top,90
J2,20.02mm,31.23mm,Top,90
C3,23.95mm,23.1mm,Top,270
J5,38.02mm,31.23mm,Top,90
J7,11.92mm,31.25mm,Top,90
C8,21.72mm,13.08mm,Top,270
J4,6.95mm,11.75mm,Top,0
U2,19.22mm,12.68mm,Top,0
J6,30.03mm,31.2mm,Top,90
R2,7.52mm,19.15mm,Top,90
C7,31.17mm,15.04mm,Top,90
H2,47.5mm,32.45mm,Top,270
U3,15.4mm,19.99mm,Top,90
R3,7.52mm,23.16mm,Top,90
C2,20.01mm,18.78mm,Top,90
R4,7.54mm,21.15mm,Top,90
R1,8.02mm,25.23mm,Top,90
C1,20.01mm,20.79mm,Top,270
H1,2.5mm,12.5mm,Top,270
C6,25.48mm,22.12mm,Top,270
R5,38.04mm,19.19mm,Top,0
R6,37.95mm,25.09mm,Top,180
