Comment,Designator,Footprint,LCSC Part Number
4.7uF,"C9,C8,C2",C_0402_1005Metric,C23733
DRV8833PWP,U1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506
FFC_connector_16p_hinge_lock,"J1,J3",FFC_connector_16p_hinge_lock,C262665
0.1uF_50V,C5,C_0402_1005Metric,C77020
SM06B-SRSS-TB,"J2,J6",JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,C160405
22uF_25V,C3,C_0805_2012Metric,C602037
SM02B-SRSS-TB,"J5,J7",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,C160402
ME6211C33M5G-N,U2,SOT-23-5,C81233
120R,"R2,R3,R4,R1",R_0402_1005Metric,C25079
100uF_16V_SPE,C7,CP_Elec_6.3x5.3,C494511
STM32G030F6P6,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
0.1uF,C1,C_0402_1005Metric,C1525
2.2uF,C6,C_0402_1005Metric,C12530
0.2R,"R5,R6",R_1210_3225Metric,C52362
