Designator,Mid X,Mid Y,Layer,Rotation
C9,42.69mm,-16.22mm,Top,180
U1,26.7mm,-11.32mm,Top,180
J1,4.5mm,-12.5mm,Top,90
C15,18.32mm,-14.23mm,Top,90
C10,18.27mm,-17.8mm,Top,270
C5,25.94mm,-16.14mm,Top,180
J2,11.8mm,-6.97mm,Top,90
J9,20.11mm,-8.32mm,Top,180
C8,43.56mm,-21.22mm,Top,180
U2,43.16mm,-18.72mm,Top,0
C12,22.25mm,-17.8mm,Top,270
J6,42.35mm,-7.02mm,Top,90
R2,30.83mm,-23.37mm,Top,180
C4,16.25mm,-17.8mm,Top,270
U3,36.7mm,-17.47mm,Top,180
R3,30.87mm,-21.05mm,Top,180
C2,38.24mm,-12.75mm,Top,180
R4,30.85mm,-22.25mm,Top,180
R1,41.82mm,-13.82mm,Top,0
C14,20.3mm,-14.23mm,Top,90
J8,34.08mm,-8.0mm,Top,180
C13,22.27mm,-14.23mm,Top,90
C1,36.23mm,-12.75mm,Top,0
C11,20.25mm,-17.8mm,Top,270
C16,16.3mm,-14.25mm,Top,90
C6,27.95mm,-16.17mm,Top,0
R5,28.55mm,-2.62mm,Top,180
R6,25.1mm,-2.62mm,Top,180
J5,8.1mm,-12.5mm,Bottom,90
J7,47.4mm,-12.5mm,Bottom,270
