Ref,Val,Package,PosX,PosY,Rot,Side
C9,4.7uF,C_0402_1005Metric,42.6950,-16.2250,-90.0,top
U1,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,26.7000,-11.3250,-90.0,top
J1,FFC_connector_16p_hinge_lock,FFC_connector_16p_hinge_lock,4.5000,-12.5000,180.0,top
C15,22uF_25V,C_0805_2012Metric,18.3250,-14.2375,180.0,top
C10,22uF_25V,C_0805_2012Metric,18.2750,-17.8000,0.0,top
C5,0.1uF_50V,C_0402_1005Metric,25.9400,-16.1475,-90.0,top
J2,SM06B-SRSS-TB,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,11.8000,-6.9750,180.0,top
IGNORE1,Motor v0.5,BoardText,47.9000,-24.3250,0.0,top
J9,S2B-ZR-SM4A-TF,S2B-ZR-SM4A-TF,20.1125,-8.3250,180.0,top
C8,4.7uF,C_0402_1005Metric,43.5600,-21.2250,-90.0,top
J4,swd_4pin,swd_header,5.8500,-23.6000,90.0,top
U2,ME6211C33M5G-N,SOT-23-5,43.1600,-18.7250,0.0,top
C12,22uF_25V,C_0805_2012Metric,22.2500,-17.8000,0.0,top
J6,SM06B-SRSS-TB,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,42.3500,-7.0250,180.0,top
R2,75R,R_0402_1005Metric,30.8350,-23.3750,-90.0,top
C4,22uF_25V,C_0805_2012Metric,16.2500,-17.8000,0.0,top
H2,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,51.5000,-2.5500,0.0,top
U3,STM32G030F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,36.7000,-17.4750,-90.0,top
R3,75R,R_0402_1005Metric,30.8700,-21.0500,-90.0,top
C2,4.7uF,C_0402_1005Metric,38.2450,-12.7500,-90.0,top
R4,75R,R_0402_1005Metric,30.8550,-22.2500,-90.0,top
R1,75R,R_0402_1005Metric,41.8250,-13.8250,90.0,top
C14,22uF_25V,C_0805_2012Metric,20.3000,-14.2375,180.0,top
J8,S2B-ZR-SM4A-TF,S2B-ZR-SM4A-TF,34.0875,-8.0000,180.0,top
C13,22uF_25V,C_0805_2012Metric,22.2750,-14.2375,180.0,top
C1,0.1uF,C_0402_1005Metric,36.2350,-12.7500,90.0,top
H1,M2.5MountingHole,MountingHole_2.7mm_M2.5_ISO7380,2.5000,-22.5000,0.0,top
C11,22uF_25V,C_0805_2012Metric,20.2500,-17.8000,0.0,top
C16,22uF_25V,C_0805_2012Metric,16.3000,-14.2500,180.0,top
C6,2.2uF,C_0402_1005Metric,27.9500,-16.1750,90.0,top
R5,0.2R,R_1210_3225Metric,28.5500,-2.6250,-90.0,top
R6,0.2R,R_1210_3225Metric,25.1000,-2.6250,-90.0,top
Ref,Val,Package,PosX,PosY,Rot,Side
J5,01x06_2.54mm_Male,01x06_2.54mm_Male,2.5000,-12.5000,180.0,bottom
IGNORE2,Motor 0,BoardText,16.1000,-1.9500,180.0,bottom
IGNORE3,Motor 1,BoardText,37.2420,-2.6250,180.0,bottom
J7,01x06_2.54mm_Female,01x06_2.54mm_Female,53.1000,-12.5000,0.0,bottom
